update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,1036.243913166683,1,0.0,0.0,0,0,0.0,0.0,0,0,1.9451837241649628,0.013052840484306216,0.00252129792352207,2.2281180577010673e-05,0.0010534043,0.0,0.0,0,0
2,4096,1533.307675432529,3,0.0,0.0,0,0,0.0,0.0,0,0,1.9455629140138626,0.009118216228671372,0.0015286721027223393,5.186992808603463e-06,0.0005355184,0.0,0.0,0,0
3,6144,1511.953339250942,4,0.0,0.0,0,0,0.0,0.0,0,0,1.945605292916298,0.007055594294797629,0.0011885880667250603,2.4778976808192965e-06,0.00044637895,0.0,0.0,0,0
4,8192,1512.1718600806123,6,0.0,0.0,0,0,0.0,0.0,0,0,1.9456908851861954,0.0056329332292079926,0.0008320012493641116,3.8232975612118025e-06,0.00038066876,0.0,0.0,0,0
5,10240,1526.7374087638593,7,0.0,0.0,0,0,0.0,0.0,0,0,1.94570954144001,0.004163328791037202,0.0008719701872905716,9.424412681369176e-07,0.000200103,0.0,0.0,0,0
6,12288,1493.2070023076221,8,0.0,0.0,0,0,0.0,0.0,0,0,1.945795089006424,0.0030592357215937227,0.0005289607979648281,1.2266102729086015e-06,0.00021612598,0.0,0.0,0,0
7,14336,1520.7687592415289,10,0.0,0.0,0,0,0.0,0.0,0,0,1.9457378089427948,0.002800672024022788,0.0005590964065049775,9.443196304914636e-07,0.00028348103,0.0,0.0,0,0
8,16384,1518.5913220419286,11,0.0,0.0,0,0,0.0,0.0,0,0,1.9458281844854355,0.0024338861694559455,0.0004680296842707321,6.125409584001318e-07,0.0001884928,0.0,0.0,0,0
9,18432,1512.7710534778325,12,0.0,0.0,0,0,0.0,0.0,0,0,1.945849597454071,0.0019051607960136607,0.0003311429209134076,2.6670951314144986e-07,0.0001173824,0.0,0.0,0,0
10,20480,1518.404491541857,14,0.0,0.0,0,0,0.0,0.0,0,0,1.945866420865059,0.0014768939290661365,0.00021034241035522427,2.1696881091770592e-07,0.00010936105,0.0,0.0,0,0
11,22528,1511.7002960068987,15,0.0,0.0,0,0,0.0,0.0,0,0,1.9458735585212708,0.0011363088997313753,0.000211341468457249,3.490720850152229e-07,8.463216e-05,0.0,0.0,0,0
12,24576,1482.100795009061,16,0.03011230379343033,0.11662445110789409,0.0,0.48179686069488525,92.125,356.79859076935827,0.0,1474.0,1.9391707926988602,0.008069144620094448,-0.0029835603636456653,0.00045658894248390425,0.00292989,0.03011230379343033,0.11662445110789409,0.0,0.48179686069488525
13,26624,1511.6223512752013,18,0.03011230379343033,0.11662445110789409,0.0,0.48179686069488525,92.125,356.79859076935827,0.0,1474.0,1.9445090740919113,0.0042286544921807945,0.0007044671365292743,2.021375379968049e-06,0.00033447592,0.03011230379343033,0.11662445110789409,0.0,0.48179686069488525
14,28672,1503.2487381102007,19,0.03011230379343033,0.11662445110789409,0.0,0.48179686069488525,92.125,356.79859076935827,0.0,1474.0,1.9453888684511185,0.003943309449823573,0.0006803227952332236,6.138414647693935e-07,0.00024595484,0.03011230379343033,0.11662445110789409,0.0,0.48179686069488525
15,30720,1421.5509076315855,21,0.03011230379343033,0.11662445110789409,0.0,0.48179686069488525,92.125,356.79859076935827,0.0,1474.0,1.9457028359174728,0.00265893861069344,0.00047813243145355955,3.561435626409093e-07,0.0001170236,0.03011230379343033,0.11662445110789409,0.0,0.48179686069488525
16,32768,1469.905650161845,22,0.03011230379343033,0.11662445110789409,0.0,0.48179686069488525,92.125,356.79859076935827,0.0,1474.0,1.9457957297563553,0.0016830459935590625,0.0003122381203866098,3.5892457006525547e-07,0.000104965206,0.03011230379343033,0.11662445110789409,0.0,0.48179686069488525
17,34816,1504.9893829987116,23,0.03011230379343033,0.11662445110789409,0.0,0.48179686069488525,92.125,356.79859076935827,0.0,1474.0,1.9458488523960114,0.001102658046875149,0.00018919766625913326,2.0933545563650569e-07,6.465473e-05,0.03011230379343033,0.11662445110789409,0.0,0.48179686069488525
18,36864,1527.4535807056427,25,0.03011230379343033,0.11662445110789409,0.0,0.48179686069488525,92.125,356.79859076935827,0.0,1474.0,1.9458680599927902,0.0008011046666069888,0.00015206858370220289,1.1798398347195871e-07,7.370318e-05,0.03011230379343033,0.11662445110789409,0.0,0.48179686069488525
19,38912,1506.5316434561396,26,0.03011230379343033,0.11662445110789409,0.0,0.48179686069488525,92.125,356.79859076935827,0.0,1474.0,1.9458755403757095,0.00047705207180115394,8.209317638829816e-05,1.0846125242380822e-07,3.975571e-05,0.03011230379343033,0.11662445110789409,0.0,0.48179686069488525
20,40960,1491.4499837831793,27,0.03011230379343033,0.11662445110789409,0.0,0.48179686069488525,2492.125,262.8787446238284,1474.0,2560.0,1.945885792374611,0.00040285143040819094,0.00013825864971295232,1.8068340779109349e-07,5.1359428e-05,0.03011230379343033,0.11662445110789409,0.0,0.48179686069488525
21,43008,1520.0884298269457,29,0.03011230379343033,0.11662445110789409,0.0,0.48179686069488525,2492.125,262.8787446238284,1474.0,2560.0,1.9458673596382141,0.00039629418097320013,0.00037065201468067244,3.308102634491661e-06,0.00021977884,0.03011230379343033,0.11662445110789409,0.0,0.48179686069488525
22,45056,1499.741793128686,30,0.03011230379343033,0.11662445110789409,0.0,0.48179686069488525,2492.125,262.8787446238284,1474.0,2560.0,1.945867121219635,-0.0006083733096602373,-7.240892773552332e-05,2.027915080304865e-07,6.5153064e-05,0.03011230379343033,0.11662445110789409,0.0,0.48179686069488525
23,47104,1490.7813978915435,32,0.03011230379343033,0.11662445110789409,0.0,0.48179686069488525,2492.125,262.8787446238284,1474.0,2560.0,1.9458885341882706,-0.00047163104318315163,-7.95236292105983e-05,1.0118323423569109e-07,7.0014896e-05,0.03011230379343033,0.11662445110789409,0.0,0.48179686069488525
24,49152,1508.1310816419546,33,0.03011230379343033,0.11662445110789409,0.0,0.48179686069488525,2492.125,262.8787446238284,1474.0,2560.0,1.9458943456411362,-0.000266480514255818,-3.622773698452875e-05,9.995657102024325e-08,6.06345e-05,0.03011230379343033,0.11662445110789409,0.0,0.48179686069488525
