update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,1047.2288689183763,1,0.8967187497764826,0.04899951549130229,0.7649999856948853,0.9775000214576721,41.3125,19.599804686526852,9.0,94.0,1.561649113893509,0.7518543601036072,0.07833080179989338,0.0024054136883933097,0.045975648,0.8967187497764826,0.04899951549130229,0.7649999856948853,0.9775000214576721
2,4096,1535.5670776201996,3,0.8666249953210354,0.10129404668218728,0.47749999165534973,0.9674999713897705,53.35,40.517619624059854,13.0,209.0,1.5686145275831223,0.6976032853126526,0.056576771195977926,0.00418983239796944,0.036093295,0.8666249953210354,0.10129404668218728,0.47749999165534973,0.9674999713897705
3,6144,1519.9735766772346,4,0.8662790683812873,0.06620610056585216,0.6825000047683716,0.9524999856948853,53.48837209302326,26.482440073256843,19.0,127.0,1.5852278769016266,0.671038918197155,0.025900289649143815,0.00436949948198162,0.03393539,0.8662790683812873,0.06620610056585216,0.6825000047683716,0.9524999856948853
4,8192,1518.9745220587195,5,0.8987999975681304,0.0609697490705328,0.7149999737739563,0.9750000238418579,40.48,24.38789863846412,10.0,114.0,1.5700681060552597,0.6787039637565613,-0.0031499542456003837,0.00462329713627696,0.028604217,0.8987999975681304,0.0609697490705328,0.7149999737739563,0.9750000238418579
5,10240,1533.4806709448544,7,0.8989062483112017,0.06774243725011125,0.6524999737739563,0.9700000286102295,40.4375,27.096975730697327,12.0,139.0,1.541620522737503,0.6819796785712242,-0.003896099755365867,0.005849299544934183,0.04261035,0.8989062483112017,0.06774243725011125,0.6524999737739563,0.9700000286102295
6,12288,1493.074634658889,8,0.9025999975204467,0.07254474140843022,0.5649999976158142,0.9649999737739563,38.96,29.017897925246068,14.0,174.0,1.533202901482582,0.679366834461689,-0.003735374950338155,0.0054864673293195665,0.041704465,0.9025999975204467,0.07254474140843022,0.5649999976158142,0.9649999737739563
7,14336,1520.61827004014,10,0.9076785700661796,0.06378825160506438,0.5824999809265137,0.9700000286102295,36.92857142857143,25.515301531530017,12.0,167.0,1.4953683018684387,0.7041114270687103,-0.013278860365971923,0.005946841381955892,0.037666682,0.9076785700661796,0.06378825160506438,0.5824999809265137,0.9700000286102295
8,16384,1477.2460402109778,11,0.9113768088644829,0.06602664009371569,0.6424999833106995,0.9674999713897705,35.44927536231884,26.41065673795282,13.0,143.0,1.394772619009018,0.7531727030873299,-0.025971749797463417,0.004672009963542223,0.033473,0.9113768088644829,0.06602664009371569,0.6424999833106995,0.9674999713897705
9,18432,1478.807543869616,12,0.9221484325826168,0.043056705458017534,0.7200000286102295,0.9700000286102295,31.140625,17.22268415809147,12.0,112.0,1.4099604040384293,0.7494795769453049,-0.004188903767499141,0.0033782169630285352,0.025957497,0.9221484325826168,0.043056705458017534,0.7200000286102295,0.9700000286102295
10,20480,1476.5492612556368,14,0.9253461498480576,0.033443051740719286,0.7674999833106995,0.9700000286102295,29.861538461538462,13.377221653676731,12.0,93.0,1.4081194251775742,0.7713728621602058,-0.017097912495955825,0.002701103192521259,0.02363852,0.9253461498480576,0.033443051740719286,0.7674999833106995,0.9700000286102295
11,22528,1486.4410267769076,15,0.9262681136960569,0.031139647473506435,0.8450000286102295,0.9700000286102295,29.492753623188406,12.455862002071989,12.0,62.0,1.3821879178285599,0.7820307686924934,-0.00013217273954069242,0.0027054804377257824,0.020469151,0.9262681136960569,0.031139647473506435,0.8450000286102295,0.9700000286102295
12,24576,1457.3231115222034,17,0.9338580193342986,0.030942119578392338,0.8374999761581421,0.9750000238418579,26.45679012345679,12.3768495390187,10.0,65.0,1.3974892497062683,0.8005931451916695,-0.01229393482208252,0.00203617152874358,0.018050712,0.9338580193342986,0.030942119578392338,0.8374999761581421,0.9750000238418579
13,26624,1482.0839176451975,18,0.9348780461927739,0.02393429916171497,0.8224999904632568,0.9725000262260437,26.048780487804876,9.573722214968187,11.0,71.0,1.348393976688385,0.8134273365139961,-0.005428823351394385,0.0015056239062687382,0.015482137,0.9348780461927739,0.02393429916171497,0.8224999904632568,0.9725000262260437
14,28672,1477.244261876988,19,0.9326333316167196,0.026872822739210548,0.8374999761581421,0.9700000286102295,26.946666666666665,10.749131231044776,12.0,65.0,1.3897174298763275,0.8029796853661537,0.004671313348808326,0.0015264420653693378,0.016084753,0.9326333316167196,0.026872822739210548,0.8374999761581421,0.9700000286102295
15,30720,1482.9029127956678,21,0.9301388851470418,0.03156476809971851,0.8324999809265137,0.9725000262260437,27.944444444444443,12.625909085959456,11.0,67.0,1.4479422569274902,0.7885126024484634,0.004884461865003686,0.0018770546157611534,0.017985724,0.9301388851470418,0.03156476809971851,0.8324999809265137,0.9725000262260437
16,32768,1478.6733895463021,22,0.9319407853641009,0.03148881396590035,0.8224999904632568,0.9725000262260437,27.223684210526315,12.59552832536269,11.0,71.0,1.4075009375810623,0.795631006360054,-0.0006855292285763426,0.0020541457342915237,0.01715171,0.9319407853641009,0.03148881396590035,0.8224999904632568,0.9725000262260437
17,34816,1485.8041646767867,23,0.9368209846225786,0.028960943303675407,0.7774999737739563,0.9725000262260437,25.271604938271604,11.584378951664958,11.0,89.0,1.3567302972078323,0.8099166080355644,-0.002546537714806618,0.0018673619924811646,0.01755771,0.9368209846225786,0.028960943303675407,0.7774999737739563,0.9725000262260437
18,36864,1495.7379140757323,25,0.9382267407206601,0.0230673428867484,0.8374999761581421,0.9700000286102295,24.709302325581394,9.226940180506524,12.0,65.0,1.3562584668397903,0.8174004256725311,-0.011363425408490002,0.0015137738664634526,0.014326997,0.9382267407206601,0.0230673428867484,0.8374999761581421,0.9700000286102295
19,38912,1494.449806372459,26,0.9399999933583396,0.020734283313737778,0.8849999904632568,0.9800000190734863,24.0,8.29371534872727,8.0,46.0,1.3663424104452133,0.8227391168475151,-0.002653534131241031,0.0013855031284037977,0.015341921,0.9399999933583396,0.020734283313737778,0.8849999904632568,0.9800000190734863
20,40960,1501.2615047928007,28,0.9396470546722412,0.021768001443430402,0.8774999976158142,0.9775000214576721,24.141176470588235,8.70720180780251,9.0,49.0,1.4129174798727036,0.8206296637654305,-0.001439567749912385,0.0012656311446335167,0.012263373,0.9396470546722412,0.021768001443430402,0.8774999976158142,0.9775000214576721
21,43008,1489.381460197928,29,0.9377469089296129,0.024797335813710845,0.8050000071525574,0.9700000286102295,24.901234567901234,9.918936793720253,12.0,78.0,1.4170706123113632,0.8177622109651566,0.00311727165535558,0.0016720318089937791,0.013363946,0.9377469089296129,0.024797335813710845,0.8050000071525574,0.9700000286102295
22,45056,1486.3129420257405,30,0.9347602692368913,0.026814825438454634,0.8374999761581421,0.9750000238418579,26.095890410958905,10.725931174011611,10.0,65.0,1.4020123928785324,0.8050124272704124,0.007298585973330773,0.0016883977223187685,0.015491838,0.9347602692368913,0.026814825438454634,0.8374999761581421,0.9750000238418579
23,47104,1479.356124202106,32,0.9301644681315673,0.033980290352601104,0.7425000071525574,0.9674999713897705,27.93421052631579,13.592118000707334,13.0,103.0,1.3890731036663055,0.8010713309049606,0.000196978056919761,0.0017541839479235932,0.017489828,0.9301644681315673,0.033980290352601104,0.7425000071525574,0.9674999713897705
24,49152,1492.1305740577488,33,0.9390168504768543,0.021307725090226506,0.8600000143051147,0.9725000262260437,24.39325842696629,8.523092198176009,11.0,56.0,1.3516062200069427,0.8190797194838524,-0.011671057785861194,0.0015970471577020362,0.014611337,0.9390168504768543,0.021307725090226506,0.8600000143051147,0.9725000262260437
