update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,1050.2394346514407,1,0.0,0.0,0,0,0.0,0.0,0,0,1.9433461427688599,0.08126523904502392,0.013016266864724457,0.00018557835028332192,0.0047732415,0.0,0.0,0,0
2,4096,1524.114656878192,3,0.0,0.0,0,0,0.0,0.0,0,0,1.9439784288406372,0.07150105759501457,0.012767488486133516,4.773027376359096e-05,0.0046247626,0.0,0.0,0,0
3,6144,1509.24133462226,4,0.0,0.0,0,0,0.0,0.0,0,0,1.9453034549951553,0.05213756347075105,0.00878115079831332,3.330637173348805e-05,0.0023776456,0.0,0.0,0,0
4,8192,1488.2040466291314,6,0.0,0.0,0,0,0.0,0.0,0,0,1.9444352984428406,0.040207191836088896,0.007337704591918737,1.9733299495783285e-05,0.0019392214,0.0,0.0,0,0
5,10240,1503.1671907376196,7,0.0,0.0,0.0,0.0,640.0,0.0,640.0,640.0,1.9441245347261429,0.02771784644573927,0.010293856728821993,6.139706101748743e-05,0.003819739,0.0,0.0,0.0,0.0
6,12288,1483.0170964341369,8,0.0,0.0,0.0,0.0,640.0,0.0,640.0,640.0,1.9450941383838654,0.02424520067870617,0.004132295114686713,1.5481130958505673e-05,0.0011084068,0.0,0.0,0.0,0.0
7,14336,1485.5140682193376,10,0.0,0.0,0.0,0.0,640.0,0.0,640.0,640.0,1.9453987926244736,0.019321250962093472,0.003432407771470025,1.1657339769044484e-05,0.00096114096,0.0,0.0,0.0,0.0
8,16384,1504.0057093121775,11,0.0,0.0,0.0,0.0,640.0,0.0,640.0,640.0,1.9453451335430145,0.016993593191727996,0.002989878586959094,9.97072265818133e-06,0.0011051004,0.0,0.0,0.0,0.0
9,18432,1478.7321904373673,12,0.019609374925494194,0.07594678251597631,0.0,0.3137499988079071,630.5,36.79334178897046,488.0,640.0,1.940500408411026,0.015215944964438677,-0.0003207839781680377,0.0003721325265360065,0.003565536,0.019609374925494194,0.07594678251597631,0.0,0.3137499988079071
10,20480,1502.1307321850136,14,0.019609374925494194,0.07594678251597631,0.0,0.3137499988079071,630.5,36.79334178897046,488.0,640.0,1.9442853331565857,0.005728606367483735,0.0021499716385733336,1.1966195074819552e-05,0.0010397348,0.019609374925494194,0.07594678251597631,0.0,0.3137499988079071
