update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,1013.2962935132382,2,0.0,0.0,0,0,0.0,0.0,0,0,1.9433461278676987,0.08126523904502392,0.013016266631893814,0.00018557836301624775,0.0047732415,0.0,0.0,0,0
2,4096,1459.5623542869066,3,0.0,0.0,0,0,0.0,0.0,0,0,1.9439784586429596,0.07150106225162745,0.012767488602548838,4.7730281949043274e-05,0.0046247654,0.0,0.0,0,0
3,6144,1442.5370628210362,4,0.0,0.0,0,0,0.0,0.0,0,0,1.9453034102916718,0.05213755462318659,0.008781148470006883,3.330636855025659e-05,0.0023776456,0.0,0.0,0,0
4,8192,1462.2934949233857,6,0.0,0.0,0,0,0.0,0.0,0,0,1.9444352835416794,0.04020719090476632,0.007337704533711076,1.97332817606366e-05,0.0019392155,0.0,0.0,0,0
5,10240,1427.3262091655313,7,0.0,0.0,0.0,0.0,640.0,0.0,640.0,640.0,1.9441245198249817,0.02771784272044897,0.010293856379576027,6.139705146779306e-05,0.0038197383,0.0,0.0,0.0,0.0
6,12288,1451.322883616366,9,0.0,0.0,0.0,0.0,640.0,0.0,640.0,640.0,1.945094108581543,0.024245192063972354,0.004132293775910512,1.5481139712392178e-05,0.0011084054,0.0,0.0,0.0,0.0
7,14336,1440.820343263384,10,0.0,0.0,0.0,0.0,640.0,0.0,640.0,640.0,1.945398822426796,0.01932124514132738,0.0034324061998631805,1.1657343861770642e-05,0.00096114,0.0,0.0,0.0,0.0
8,16384,1447.7623629144841,11,0.0,0.0,0.0,0.0,640.0,0.0,640.0,640.0,1.9453451186418533,0.01699358702171594,0.0029898781795054674,9.970734481612453e-06,0.0011051053,0.0,0.0,0.0,0.0
9,18432,1440.2555311095887,13,0.019609374925494194,0.07594678251597631,0.0,0.3137499988079071,630.5,36.79334178897046,488.0,640.0,1.9405003786087036,0.0152159285498783,-0.00032078629283205373,0.0003721325301739853,0.0035655363,0.019609374925494194,0.07594678251597631,0.0,0.3137499988079071
10,20480,1411.091690939326,14,0.019609374925494194,0.07594678251597631,0.0,0.3137499988079071,630.5,36.79334178897046,488.0,640.0,1.9442853182554245,0.0057285939692519605,0.0021499673603102565,1.1966189276790828e-05,0.0010397334,0.019609374925494194,0.07594678251597631,0.0,0.3137499988079071
11,22528,1443.0983325283394,16,0.019609374925494194,0.07594678251597631,0.0,0.3137499988079071,630.5,36.79334178897046,488.0,640.0,1.9455451518297195,0.00898153823800385,0.0017957251402549446,8.55020948620222e-06,0.00076978665,0.019609374925494194,0.07594678251597631,0.0,0.3137499988079071
12,24576,1422.8422064259953,17,0.019609374925494194,0.07594678251597631,0.0,0.3137499988079071,630.5,36.79334178897046,488.0,640.0,1.9456602334976196,0.006073417840525508,0.0011844073014799505,6.267164508244605e-06,0.0010822963,0.019609374925494194,0.07594678251597631,0.0,0.3137499988079071
13,26624,1435.7433265841182,19,0.019609374925494194,0.07594678251597631,0.0,0.3137499988079071,630.5,36.79334178897046,488.0,640.0,1.9456398636102676,0.004444595077075064,0.0007577789729111828,4.049735480293748e-06,0.0005678701,0.019609374925494194,0.07594678251597631,0.0,0.3137499988079071
14,28672,1406.5101763996602,20,0.0,0.0,0.0,0.0,640.0,0.0,640.0,640.0,1.945637583732605,0.0036974462273065,0.0006672774616163224,3.619543377908485e-06,0.00040447555,0.0,0.0,0.0,0.0
15,30720,1434.0061013334189,22,0.0,0.0,0.0,0.0,640.0,0.0,640.0,640.0,1.945718765258789,0.002958145225420594,0.001040460410877131,4.658626750142503e-06,0.00040459388,0.0,0.0,0.0,0.0
16,32768,1248.0385148490109,23,0.0,0.0,0.0,0.0,640.0,0.0,640.0,640.0,1.9456592351198196,0.002207145793363452,0.00043607934276224114,3.349607453628778e-06,0.00036297622,0.0,0.0,0.0,0.0
17,34816,1208.848641287407,25,0.0,0.0,0.0,0.0,640.0,0.0,640.0,640.0,1.9457245916128159,0.001739008235745132,0.0003328255952510517,3.5001538662982057e-06,0.00031332008,0.0,0.0,0.0,0.0
18,36864,1419.0920702051174,26,0.0,0.0,0.0,0.0,640.0,0.0,640.0,640.0,1.9457510858774185,0.0015721054805908352,0.00022455018483924505,2.6855520616209105e-06,0.0003714112,0.0,0.0,0.0,0.0
19,38912,1451.554398809412,28,0.02294921875,0.088881942027221,0.0,0.3671875,628.125,45.99167723621308,450.0,640.0,1.9437863677740097,0.0026621920296747703,-0.002867852643248625,0.000516082662215922,0.0058328053,0.02294921875,0.088881942027221,0.0,0.3671875
20,40960,1417.7111583795124,29,0.02294921875,0.088881942027221,0.0,0.3671875,628.125,45.99167723621308,450.0,640.0,1.9448885917663574,0.0017887971043819562,0.0007155021876315004,1.6830556205604807e-05,0.0017609604,0.02294921875,0.088881942027221,0.0,0.3671875
21,43008,1437.5648757551248,31,0.02294921875,0.088881942027221,0.0,0.3671875,628.125,45.99167723621308,450.0,640.0,1.94568632543087,0.003293300571385771,0.0006425647370633669,7.083429068188707e-06,0.0006964097,0.02294921875,0.088881942027221,0.0,0.3671875
22,45056,1425.900592890329,32,0.02294921875,0.088881942027221,0.0,0.3671875,628.125,45.99167723621308,450.0,640.0,1.9457280933856964,0.0031023907649796456,0.000710435924702324,3.790581956764072e-06,0.0004991673,0.02294921875,0.088881942027221,0.0,0.3671875
23,47104,1438.116985261951,33,0.02294921875,0.088881942027221,0.0,0.3671875,628.125,45.99167723621308,450.0,640.0,1.9457913786172867,0.002229306395747699,0.0002792758432406117,3.487284260472734e-06,0.00041622718,0.02294921875,0.088881942027221,0.0,0.3671875
24,49152,1432.8995221185323,35,0.026376953348517418,0.1021575010424979,0.0,0.4220312535762787,625.6875,55.432074142593656,411.0,640.0,1.9440683275461197,0.004083945794263855,-0.002634910706547089,0.0006088293303037062,0.0039063757,0.026376953348517418,0.1021575010424979,0.0,0.4220312535762787
25,51200,1419.691786037101,36,0.026376953348517418,0.1021575010424979,0.0,0.4220312535762787,625.6875,55.432074142593656,411.0,640.0,1.9437019675970078,0.0024933133827289566,0.000972743880993221,1.9891060219379142e-05,0.0016748101,0.026376953348517418,0.1021575010424979,0.0,0.4220312535762787
26,53248,1427.249845061628,38,0.026376953348517418,0.1021575010424979,0.0,0.4220312535762787,625.6875,55.432074142593656,411.0,640.0,1.9452092051506042,-0.0006208501090441132,0.00011148839757879614,9.07885254264329e-06,0.0011443713,0.026376953348517418,0.1021575010424979,0.0,0.4220312535762787
27,55296,1423.0034301435837,39,0.040351562201976776,0.15628092840170874,0.0,0.6456249952316284,615.75,93.91984614552986,252.0,640.0,1.9416983872652054,0.003119162462098757,-0.006057270453311503,0.0013892401366319973,0.008631879,0.040351562201976776,0.15628092840170874,0.0,0.6456249952316284
28,57344,1433.7452100194016,41,0.040351562201976776,0.15628092840170874,0.0,0.6456249952316284,615.75,93.91984614552986,252.0,640.0,1.9443199634552002,0.012176345218904316,0.0019507247598085087,8.310939028888242e-05,0.0029953278,0.040351562201976776,0.15628092840170874,0.0,0.6456249952316284
29,59392,1420.994752204916,42,0.040351562201976776,0.15628092840170874,0.0,0.6456249952316284,615.75,93.91984614552986,252.0,640.0,1.9440440982580185,0.003386733806109987,0.0008260620415967423,2.137197452611872e-05,0.0021844907,0.040351562201976776,0.15628092840170874,0.0,0.6456249952316284
30,61440,1425.3360627869465,44,0.040351562201976776,0.15628092840170874,0.0,0.6456249952316284,615.75,93.91984614552986,252.0,640.0,1.9447655379772186,0.00043119808651681524,0.00013999107159179403,1.5713501511527284e-05,0.0011877783,0.040351562201976776,0.15628092840170874,0.0,0.6456249952316284
31,63488,1446.801607966329,45,0.040351562201976776,0.15628092840170874,0.0,0.6456249952316284,615.75,93.91984614552986,252.0,640.0,1.945390835404396,0.003872875066008419,0.0007729706921963952,5.044460124281613e-06,0.0005536073,0.040351562201976776,0.15628092840170874,0.0,0.6456249952316284
32,65536,1429.539570256164,46,0.0,0.0,0.0,0.0,640.0,0.0,640.0,640.0,1.945443034172058,0.004732249944936484,0.0007721382717136294,4.241232716140075e-06,0.00056673546,0.0,0.0,0.0,0.0
33,67584,1449.4330618367612,48,0.0,0.0,0.0,0.0,640.0,0.0,640.0,640.0,1.945624977350235,0.0034875786514021456,0.0007462925495929085,3.1892467404759373e-06,0.00048381486,0.0,0.0,0.0,0.0
34,69632,1419.6812274072292,49,0.0,0.0,0.0,0.0,640.0,0.0,640.0,640.0,1.9456727206707,0.003092696249950677,0.0007179010863183066,3.0888863875588868e-06,0.000654413,0.0,0.0,0.0,0.0
35,71680,1444.0231011834187,51,0.0,0.0,0.0,0.0,640.0,0.0,640.0,640.0,1.9456521272659302,0.00288298845407553,0.0008703542189323343,2.8561499334500695e-06,0.00042288084,0.0,0.0,0.0,0.0
36,73728,1411.4065507836651,52,0.0,0.0,0.0,0.0,640.0,0.0,640.0,640.0,1.9456912279129028,0.002633723575854674,0.00041064812648983207,3.3062091233659885e-06,0.000218689,0.0,0.0,0.0,0.0
37,75776,1431.2206742483618,54,0.0,0.0,0.0,0.0,640.0,0.0,640.0,640.0,1.9457704573869705,0.0029135531513020396,0.0007614762871526182,2.579549999381925e-06,0.00035261072,0.0,0.0,0.0,0.0
38,77824,1424.8093190869008,55,0.030332030728459358,0.11747544986797472,0.0,0.48531249165534973,622.875,66.324839803802,366.0,640.0,1.941023349761963,0.0063370190327987075,-0.003948402081732638,0.0008819583854347002,0.004945243,0.030332030728459358,0.11747544986797472,0.0,0.48531249165534973
