update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,1055.3843369205617,1,0.9316858586512113,0.033910946963388824,0.8368750214576721,0.9732812643051147,48.578947368421055,24.114454694389345,19.0,116.0,1.6336156129837036,0.6997707560658455,0.06898236274719238,0.0031002567266114056,0.059620783,0.9316858586512113,0.033910946963388824,0.8368750214576721,0.9732812643051147
2,4096,1535.4229768592656,3,0.8940918035805225,0.06650335946802627,0.7314062714576721,0.9732812643051147,75.3125,47.291276613663115,19.0,191.0,1.7144497334957123,0.5953583866357803,0.07634244300425053,0.002707222825847566,0.05665692,0.8940918035805225,0.06650335946802627,0.7314062714576721,0.9732812643051147
3,6144,1528.7875362466893,4,0.8476855494081974,0.1114488777941013,0.5935937762260437,0.9549999833106995,108.3125,79.25253840571922,32.0,289.0,1.7795543670654297,0.528769239783287,0.0661507504992187,0.003173513279762119,0.0497824,0.8476855494081974,0.1114488777941013,0.5935937762260437,0.9549999833106995
4,8192,1518.1101120688375,5,0.7695404431399178,0.18039499649452562,0.4375,0.9535937309265137,163.88235294117646,128.28088773924802,33.0,400.0,1.7705984711647034,0.4960881620645523,0.04320228099822998,0.005299695243593305,0.0352495,0.7695404431399178,0.18039499649452562,0.4375,0.9535937309265137
5,10240,1489.606678760492,7,0.7930078208446503,0.2320727273480992,0.0,0.9451562762260437,142.75,150.0614457480668,39.0,640.0,1.75844906270504,0.45131732523441315,0.04168920498341322,0.005676617380231619,0.043970235,0.7930078208446503,0.2320727273480992,0.0,0.9451562762260437
6,12288,1506.6806786113384,8,0.7213975720935397,0.2927563798770429,0.0,0.9465625286102295,194.16666666666666,198.87663680449413,38.0,640.0,1.7685237973928452,0.445356547832489,0.031783088110387325,0.008373195712920278,0.04603041,0.7213975720935397,0.2927563798770429,0.0,0.9465625286102295
7,14336,1534.6019815989282,10,0.8092773500829935,0.18436821833977993,0.17734375596046448,0.9620312452316284,135.625,131.10629037159126,27.0,585.0,1.766864225268364,0.426064595580101,0.018764585140161216,0.005965149088297039,0.03841979,0.8092773500829935,0.18436821833977993,0.17734375596046448,0.9620312452316284
8,16384,1516.3906647525987,11,0.7997334581964156,0.1578364760617457,0.3123437464237213,0.9746875166893005,142.41176470588235,112.239271109709,18.0,489.0,1.7777155190706253,0.42275284603238106,0.014374495891388506,0.007056291855406016,0.038407832,0.7997334581964156,0.1578364760617457,0.3123437464237213,0.9746875166893005
9,18432,1517.1421754960068,12,0.8292285166680813,0.12447593353183274,0.47828125953674316,0.9564062356948853,121.4375,88.51621938238212,31.0,371.0,1.7717695087194443,0.42423190549016,0.0019378988654352725,0.00676252506673336,0.048525944,0.8292285166680813,0.12447593353183274,0.47828125953674316,0.9564062356948853
10,20480,1509.2514112223096,14,0.8379296821852525,0.1555831228119361,0.27156248688697815,0.9592187404632568,115.25,110.6368873085886,29.0,518.0,1.7209651172161102,0.44746435061097145,-0.021561059053055942,0.007735380146186799,0.047628015,0.8379296821852525,0.1555831228119361,0.27156248688697815,0.9592187404632568
11,22528,1498.765488001061,15,0.8821306797591123,0.05795889622320339,0.746874988079071,0.9662500023841858,83.81818181818181,41.21521824370257,24.0,180.0,1.7107146978378296,0.44906335696578026,-0.020594355883076787,0.011495459359139204,0.05743377,0.8821306797591123,0.05795889622320339,0.746874988079071,0.9662500023841858
12,24576,1516.6361763386358,16,0.8457226554552714,0.17375653464119267,0.1576562523841858,0.9760937690734863,109.70833333333333,123.56020097057502,17.0,599.0,1.7081750482320786,0.4828825853765011,-0.009683992277132347,0.009565081563778222,0.048675038,0.8457226554552714,0.17375653464119267,0.1576562523841858,0.9760937690734863
13,26624,1500.3191201321129,18,0.9086499881744384,0.05616341696989845,0.782031238079071,0.9634374976158142,64.96,39.938432618218755,26.0,155.0,1.6680349260568619,0.5136941596865654,-0.012125675682909787,0.008588461438193917,0.06557548,0.9086499881744384,0.05616341696989845,0.782031238079071,0.9634374976158142
14,28672,1482.03865752155,19,0.8855078162418472,0.09668494217882692,0.49656251072883606,0.9676562547683716,81.41666666666667,68.75373727215771,23.0,358.0,1.602850928902626,0.5719126760959625,-0.03860960016027093,0.008398764999583364,0.07360022,0.8855078162418472,0.09668494217882692,0.49656251072883606,0.9676562547683716
15,30720,1508.4194842922113,20,0.9154492188245058,0.03624292382217434,0.831250011920929,0.9775000214576721,60.125,25.772744809197178,16.0,120.0,1.580436646938324,0.62612434476614,-0.01554673386272043,0.0056005853693932295,0.06383921,0.9154492188245058,0.03624292382217434,0.831250011920929,0.9775000214576721
16,32768,1480.0366845133915,22,0.9179525848092704,0.06155044224429232,0.6428124904632568,0.9634374976158142,58.3448275862069,43.769203361511025,26.0,254.0,1.599727064371109,0.5988432914018631,0.003503717070998391,0.0069052104372531176,0.063550845,0.9179525848092704,0.06155044224429232,0.6428124904632568,0.9634374976158142
17,34816,1509.2206514963361,23,0.9148361275835735,0.06466218261209593,0.6709374785423279,0.971875011920929,60.5609756097561,45.98199476915529,20.0,234.0,1.4929111301898956,0.6606622189283371,-0.018935492727905512,0.0058711806777864695,0.0716815,0.9148361275835735,0.06466218261209593,0.6709374785423279,0.971875011920929
18,36864,1503.6560813023757,25,0.9293998601761732,0.03283413262761545,0.8059375286102295,0.9690625071525574,50.20454545454545,23.3487195925509,22.0,138.0,1.4727583229541779,0.7098757848143578,-0.02403037389740348,0.004574910504743457,0.0554251,0.9293998601761732,0.03283413262761545,0.8059375286102295,0.9690625071525574
19,38912,1513.2646126277343,26,0.9404587783712022,0.021139128105625717,0.866406261920929,0.9845312237739563,42.340425531914896,15.032272510841437,11.0,95.0,1.4765542149543762,0.7229005619883537,-0.002927636363892816,0.003877666575135663,0.04671092,0.9404587783712022,0.021139128105625717,0.866406261920929,0.9845312237739563
20,40960,1512.8946795368781,27,0.940640023121467,0.02943106683153247,0.8073437213897705,0.9690625071525574,42.21153846153846,20.928758773204454,22.0,137.0,1.4477738738059998,0.7482189312577248,-0.01771304151043296,0.0030751208832953125,0.03757315,0.940640023121467,0.02943106683153247,0.8073437213897705,0.9690625071525574
21,43008,1513.6107224365687,29,0.9427742337693974,0.019177017838546483,0.8776562213897705,0.9732812643051147,40.69387755102041,13.636990633421535,19.0,87.0,1.4585590064525604,0.7564562112092972,-0.0030244808076531626,0.0025131309521384537,0.03162899,0.9427742337693974,0.019177017838546483,0.8776562213897705,0.9732812643051147
22,45056,1494.1399510147967,30,0.9424048869506173,0.025818577858573805,0.8551562428474426,0.9831249713897705,40.95652173913044,18.359876529066607,12.0,103.0,1.4169864803552628,0.7497810125350952,-0.0003147843381157145,0.0025421582104172558,0.026579566,0.9424048869506173,0.025818577858573805,0.8551562428474426,0.9831249713897705
23,47104,1514.3837745677142,31,0.945156251300465,0.019075300504994196,0.9029687643051147,0.9760937690734863,39.0,13.564659966250536,17.0,69.0,1.4635911881923676,0.755888931453228,-0.0024326721322722733,0.0023860580113250762,0.033813372,0.945156251300465,0.019075300504994196,0.9029687643051147,0.9760937690734863
24,49152,1503.9751630354756,33,0.9410522932908973,0.026833804594441145,0.8396875262260437,0.9704687595367432,41.91836734693877,19.08181818091625,21.0,114.0,1.4337156265974045,0.7502577304840088,-0.009940183255821466,0.0028569501591846347,0.033924714,0.9410522932908973,0.026833804594441145,0.8396875262260437,0.9704687595367432
25,51200,1503.0012297058295,34,0.9484034115617925,0.027858944669502686,0.796093761920929,0.9789062738418579,36.69090909090909,19.81080763556988,15.0,145.0,1.4220649600028992,0.7525944039225578,-0.010211930959485471,0.002831288264133036,0.041267425,0.9484034115617925,0.027858944669502686,0.796093761920929,0.9789062738418579
26,53248,1518.2810368436058,35,0.9430319134225237,0.033121906360981494,0.796093761920929,0.9817187786102295,40.51063829787234,23.55335485922315,13.0,145.0,1.481085330247879,0.7321096956729889,0.0012049016513628885,0.0031906430958770216,0.03358721,0.9430319134225237,0.033121906360981494,0.796093761920929,0.9817187786102295
27,55296,1496.431548362022,37,0.9427152084854414,0.03183873947717714,0.7482812404632568,0.9760937690734863,40.735849056603776,22.64088049440926,17.0,179.0,1.514345943927765,0.7567893117666245,-0.00048154247997445054,0.002756991656497121,0.032015037,0.9427152084854414,0.03183873947717714,0.7482812404632568,0.9760937690734863
28,57344,1502.8095390468407,38,0.9339979627858037,0.02682217017701913,0.8635937571525574,0.9732812643051147,46.93478260869565,19.073544361705782,19.0,97.0,1.529625117778778,0.7378055080771446,0.011228810006286949,0.003040777664864436,0.037357733,0.9339979627858037,0.02682217017701913,0.8635937571525574,0.9732812643051147
29,59392,1504.5249224086594,40,0.9359836646101691,0.03365596991845325,0.8340625166893005,0.9760937690734863,45.52272727272727,23.93313473025481,17.0,118.0,1.532322257757187,0.7405607625842094,0.016351208090782166,0.0027799005329143256,0.03398988,0.9359836646101691,0.03365596991845325,0.8340625166893005,0.9760937690734863
30,61440,1496.058073271526,41,0.9395632161335512,0.0178546144241648,0.8917187452316284,0.9760937690734863,42.97727272727273,12.696614860883978,17.0,77.0,1.5531113296747208,0.7288206443190575,0.004638831538613886,0.002319846040336415,0.033828583,0.9395632161335512,0.0178546144241648,0.8917187452316284,0.9760937690734863
31,63488,1523.4875310729974,42,0.9310624996821085,0.043100013021684945,0.7229687571525574,0.9732812643051147,49.022222222222226,30.648899845319,19.0,197.0,1.5034852623939514,0.7255448922514915,0.005295134003972635,0.0029788586543872952,0.037215434,0.9310624996821085,0.043100013021684945,0.7229687571525574,0.9732812643051147
32,65536,1497.9348904301983,44,0.934952762237815,0.027099178331874217,0.8115624785423279,0.9775000214576721,46.25581395348837,19.27052578090083,16.0,134.0,1.5376639366149902,0.7157310843467712,0.004797758476343006,0.002676138741662726,0.037144326,0.934952762237815,0.027099178331874217,0.8115624785423279,0.9775000214576721
33,67584,1489.0695726684487,45,0.9276682673356472,0.033419042244144465,0.8199999928474426,0.9704687595367432,51.43589743589744,23.764652561611246,21.0,128.0,1.5254161059856415,0.7083866596221924,0.0025448321139265317,0.0032808391260914505,0.035831787,0.9276682673356472,0.033419042244144465,0.8199999928474426,0.9704687595367432
34,69632,1526.065556651307,46,0.9374804670612017,0.02614509970536345,0.8776562213897705,0.9803125262260437,44.458333333333336,18.592066333669194,14.0,87.0,1.4943722635507584,0.7278519794344902,-0.009706081356853247,0.0025983039231505245,0.031363685,0.9374804670612017,0.02614509970536345,0.8776562213897705,0.9803125262260437
35,71680,1503.3881783084462,48,0.9370063909075477,0.025611827954582545,0.8621875047683716,0.9831249713897705,44.79545454545455,18.21285702895141,12.0,98.0,1.5155809968709946,0.7252585142850876,0.003572199842892587,0.003433224163018167,0.043967016,0.9370063909075477,0.025611827954582545,0.8621875047683716,0.9831249713897705
36,73728,1494.467486559694,49,0.9404136035956588,0.02579196814964149,0.8579687476158142,0.9817187786102295,42.372549019607845,18.340954691419284,13.0,101.0,1.4699144065380096,0.7580893635749817,0.002014868936385028,0.0021826657030032948,0.035725817,0.9404136035956588,0.02579196814964149,0.8579687476158142,0.9817187786102295
37,75776,1523.9559344520094,50,0.9401065341450952,0.01791700717087962,0.8860937356948853,0.9803125262260437,42.59090909090909,12.740982875276899,14.0,81.0,1.553255096077919,0.7318148091435432,0.006287334836088121,0.002169286148273386,0.028031886,0.9401065341450952,0.01791700717087962,0.8860937356948853,0.9803125262260437
38,77824,1498.5947456669958,52,0.9322443211620505,0.033999793205645876,0.7553125023841858,0.9704687595367432,48.18181818181818,24.177631216470925,21.0,174.0,1.5067996680736542,0.7302410006523132,0.0019938892328354996,0.002559431828558445,0.032072578,0.9322443211620505,0.033999793205645876,0.7553125023841858,0.9704687595367432
39,79872,1516.5459409224059,53,0.9353444535623897,0.0284767427188604,0.8579687476158142,0.9704687595367432,45.97727272727273,20.2501275376047,21.0,101.0,1.5129585415124893,0.7208877056837082,0.0013345640909392387,0.0027607585361693054,0.030442555,0.9353444535623897,0.0284767427188604,0.8579687476158142,0.9704687595367432
40,81920,1522.0870137169613,55,0.9372499969270495,0.025993086125764092,0.8706250190734863,0.9803125262260437,44.62222222222222,18.483973705635304,14.0,92.0,1.5178478509187698,0.7457874193787575,0.0025631987664382905,0.0021329258161131293,0.026966717,0.9372499969270495,0.025993086125764092,0.8706250190734863,0.9803125262260437
41,83968,1498.7110972463286,56,0.938406252861023,0.02445581889746763,0.8467187285423279,0.9760937690734863,43.8,17.390802166662695,17.0,109.0,1.5028155893087387,0.7542432323098183,0.009408494777744636,0.0018276375776622444,0.025049467,0.938406252861023,0.02445581889746763,0.8467187285423279,0.9760937690734863
42,86016,1505.320901636256,57,0.9368168614631476,0.02547801110788992,0.8678125143051147,0.9760937690734863,44.93023255813954,18.117697051710092,17.0,94.0,1.4915985018014908,0.7354740872979164,0.006597912812139839,0.0023169935448095202,0.029929485,0.9368168614631476,0.02547801110788992,0.8678125143051147,0.9760937690734863
43,88064,1512.26849783413,59,0.9383643586584862,0.019427872608517756,0.8804687261581421,0.9662500023841858,43.829787234042556,13.815377107975799,24.0,85.0,1.4872936308383942,0.7437876537442207,0.001644617092097178,0.002230424783192575,0.028487233,0.9383643586584862,0.019427872608517756,0.8804687261581421,0.9662500023841858
44,90112,1497.7155030252688,60,0.9387199523357245,0.02954199396184672,0.7975000143051147,0.9760937690734863,43.57692307692308,21.007641607690278,17.0,144.0,1.4750818461179733,0.7558527514338493,-0.004067714908160269,0.0023371141869574785,0.035614103,0.9387199523357245,0.02954199396184672,0.7975000143051147,0.9760937690734863
45,92160,1511.2016417510017,61,0.9469485247836393,0.019405968186395346,0.8973437547683716,0.9831249713897705,37.72549019607843,13.79979884958906,12.0,73.0,1.4765889793634415,0.7514752969145775,-0.005258653400233015,0.002017914011958055,0.026143627,0.9469485247836393,0.019405968186395346,0.8973437547683716,0.9831249713897705
46,94208,1493.6078819974714,63,0.9366881782593934,0.026183205583327446,0.8382812738418579,0.9760937690734863,45.02173913043478,18.619168629498102,17.0,115.0,1.4839959740638733,0.7414937168359756,0.004322324690292589,0.0018257313640788198,0.0284657,0.9366881782593934,0.026183205583327446,0.8382812738418579,0.9760937690734863
47,96256,1492.716062216323,64,0.9447051916482314,0.01855931106663965,0.8748437762260437,0.9803125262260437,39.320754716981135,13.197732202142111,14.0,89.0,1.4363780319690704,0.7596035972237587,-0.009607098822016269,0.0015844396548345685,0.027996171,0.9447051916482314,0.01855931106663965,0.8748437762260437,0.9803125262260437
48,98304,1508.7268114036729,65,0.9423437539268943,0.020969302998787024,0.8776562213897705,0.9732812643051147,41.0,14.911503652431252,19.0,87.0,1.4921163320541382,0.7590875625610352,0.002188433247283683,0.0021240703063085675,0.027290467,0.9423437539268943,0.020969302998787024,0.8776562213897705,0.9732812643051147
49,100352,1494.6682380232924,67,0.9406317913013956,0.024504619289342305,0.8298437595367432,0.9760937690734863,42.21739130434783,17.425509840309036,17.0,121.0,1.506198674440384,0.7584519386291504,0.003846063686069101,0.0017861664528027177,0.02534403,0.9406317913013956,0.024504619289342305,0.8298437595367432,0.9760937690734863
50,102400,1503.3268740538506,68,0.9408514000931565,0.01820583014165703,0.8987500071525574,0.9704687595367432,42.06122448979592,12.946370010926167,21.0,72.0,1.490532547235489,0.7532476410269737,0.005456620885524899,0.0018832470232155174,0.02912056,0.9408514000931565,0.01820583014165703,0.8987500071525574,0.9704687595367432
51,104448,1520.015804037858,70,0.944604778991026,0.02660032281109489,0.859375,0.9831249713897705,39.3921568627451,18.915786986237908,12.0,100.0,1.4618240296840668,0.7522765249013901,0.0016338633449777262,0.0026979254907928407,0.035713535,0.944604778991026,0.02660032281109489,0.859375,0.9831249713897705
52,106496,1484.4461335500168,71,0.9429624962806702,0.028922512261872115,0.8551562428474426,0.9775000214576721,40.56,20.567119389938885,16.0,103.0,1.443965196609497,0.7464228197932243,0.007310513639822602,0.003000422817422077,0.033724185,0.9429624962806702,0.028922512261872115,0.8551562428474426,0.9775000214576721
53,108544,1515.2108023534454,72,0.9379562485218048,0.03278540297103244,0.7778124809265137,0.9746875166893005,44.12,23.31406442472011,18.0,158.0,1.4729736596345901,0.7451761662960052,-0.0021168987004784867,0.002496897737728432,0.032517254,0.9379562485218048,0.03278540297103244,0.7778124809265137,0.9746875166893005
54,110592,1482.5264362019489,74,0.9414862815926714,0.016860357173264735,0.8931249976158142,0.9746875166893005,41.609756097560975,11.989585010374604,18.0,76.0,1.527687057852745,0.7234304025769234,0.007908272527856752,0.0025369702198076993,0.031090971,0.9414862815926714,0.016860357173264735,0.8931249976158142,0.9746875166893005
55,112640,1503.576332022989,75,0.9398345549901327,0.041516086769123946,0.7567187547683716,0.9803125262260437,42.78431372549019,29.522549524242994,14.0,173.0,1.5127313733100891,0.7599562630057335,-0.0014100185871939175,0.002938710676971823,0.039623138,0.9398345549901327,0.041516086769123946,0.7567187547683716,0.9803125262260437
56,114688,1509.8562535593505,76,0.9346413354982029,0.02862471527061162,0.8495312333106995,0.9746875166893005,46.47727272727273,20.35535292157774,18.0,107.0,1.5279544293880463,0.7358608618378639,0.0068707196187460795,0.0021344774577300996,0.036391474,0.9346413354982029,0.02862471527061162,0.8495312333106995,0.9746875166893005
