update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,1043.5914241644646,1,0.9245738630945032,0.03582626317218529,0.8396875262260437,0.9732812643051147,53.63636363636363,25.476451612751323,19.0,114.0,1.6158050298690796,0.7158607542514801,0.07118131127208471,0.0025152680464088917,0.049712606,0.9245738630945032,0.03582626317218529,0.8396875262260437,0.9732812643051147
2,4096,1499.4276457811736,3,0.8838964812457561,0.06821213481503913,0.7370312213897705,0.9704687595367432,82.5625,48.50640260573856,21.0,187.0,1.6875765174627304,0.6165762096643448,0.08460918627679348,0.0021680390200344846,0.06411768,0.8838964812457561,0.06821213481503913,0.7370312213897705,0.9704687595367432
3,6144,1507.0729616595263,4,0.8342382796108723,0.08039778566663269,0.641406238079071,0.9381250143051147,117.875,57.17175329653622,44.0,255.0,1.7135820388793945,0.5407355949282646,0.05944797955453396,0.003517203324008733,0.04200639,0.8342382796108723,0.08039778566663269,0.641406238079071,0.9381250143051147
4,8192,1495.8402771731294,6,0.8453906327486038,0.1540622852547738,0.4051562547683716,0.9690625071525574,109.94444444444444,109.5554006084097,22.0,423.0,1.720174878835678,0.4950772039592266,0.03269212180748582,0.005056734924437478,0.03492645,0.8453906327486038,0.1540622852547738,0.4051562547683716,0.9690625071525574
5,10240,1517.6192863142205,7,0.7448897028670591,0.28238431524222296,0.15203124284744263,0.96484375,181.41176470588235,200.80662598147075,25.0,603.0,1.7496249079704285,0.45384614169597626,0.030397833790630102,0.009920211508870125,0.041976225,0.7448897028670591,0.28238431524222296,0.15203124284744263,0.96484375
6,12288,1524.7268724773699,8,0.7329785227775574,0.29842988889457583,0.0,0.9423437714576721,185.4375,201.74023171829162,41.0,640.0,1.762837067246437,0.4313855618238449,0.020818129647523165,0.006294550374150276,0.03253577,0.7329785227775574,0.29842988889457583,0.0,0.9423437714576721
7,14336,1502.2515743156746,10,0.8073437545034621,0.1393993445123041,0.4417187571525574,0.9395312666893005,137.0,99.12842399859106,43.0,397.0,1.7326024621725082,0.43329159170389175,0.002940421261882875,0.007118051405996084,0.036571577,0.8073437545034621,0.1393993445123041,0.4417187571525574,0.9395312666893005
8,16384,1515.124477860141,11,0.8406845260234106,0.22898777523344796,0.0,0.9592187404632568,109.9047619047619,150.65220266494762,29.0,640.0,1.6918034702539444,0.44905950874090195,-0.011326439562253654,0.008621761575341225,0.04467398,0.8406845260234106,0.22898777523344796,0.0,0.9592187404632568
9,18432,1520.5092580070734,12,0.8985685513865563,0.07492073395210168,0.6371874809265137,0.9690625071525574,72.12903225806451,53.276964661846165,22.0,258.0,1.623050406575203,0.5077909529209137,-0.03251465875655413,0.009620556025765836,0.047585748,0.8985685513865563,0.07492073395210168,0.6371874809265137,0.9690625071525574
10,20480,1486.241450499651,14,0.8812736688238202,0.1776069340283993,0.0,0.9662500023841858,82.27272727272727,115.75399010788058,24.0,640.0,1.5923828184604645,0.5584333911538124,-0.030704245204105973,0.010919288266450167,0.060888775,0.8812736688238202,0.1776069340283993,0.0,0.9662500023841858
11,22528,1510.790200648185,15,0.9122851565480232,0.07480747163771823,0.5696874856948853,0.9690625071525574,62.375,53.19642257708689,22.0,306.0,1.5484824776649475,0.589802086353302,-0.01682708808220923,0.009638216230086982,0.071024,0.9122851565480232,0.07480747163771823,0.5696874856948853,0.9690625071525574
12,24576,1508.8195640057902,16,0.9223317305246989,0.0519258530195097,0.6976562738418579,0.9746875166893005,55.23076923076923,36.925053365905256,18.0,215.0,1.536537989974022,0.6352169066667557,-0.028063390869647264,0.006933536613360047,0.045158513,0.9223317305246989,0.0519258530195097,0.6976562738418579,0.9746875166893005
13,26624,1497.3019758610076,18,0.938968751165602,0.030797124042988323,0.8228124976158142,0.9746875166893005,43.4,21.900177574115187,18.0,126.0,1.499543234705925,0.6515993252396584,-0.02119255217257887,0.006643165019340813,0.049668048,0.938968751165602,0.030797124042988323,0.8228124976158142,0.9746875166893005
14,28672,1506.784545008997,19,0.9362073811617765,0.027792388333566537,0.8270312547683716,0.9690625071525574,45.36363636363637,19.76347746026276,22.0,123.0,1.5501766055822372,0.6736347153782845,-0.01899954315740615,0.004779728653375059,0.044148374,0.9362073811617765,0.027792388333566537,0.8270312547683716,0.9690625071525574
15,30720,1504.68225861008,21,0.9208025556396354,0.10701106971814314,0.24906249344348907,0.9760937690734863,56.31818181818182,76.09676039194284,17.0,534.0,1.5168076157569885,0.7110521048307419,-0.007473882171325386,0.005789183342130855,0.043117173,0.9208025556396354,0.10701106971814314,0.24906249344348907,0.9760937690734863
16,32768,1500.130732760939,22,0.9404312515258789,0.027405298151762677,0.8115624785423279,0.9803125262260437,42.36,19.48821182150892,14.0,134.0,1.4428999722003937,0.7519075646996498,-0.0069137495702307206,0.003138888569083065,0.04470458,0.9404312515258789,0.027405298151762677,0.8115624785423279,0.9803125262260437
