update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,1041.804019526394,1,0.0,0.0,0,0,0.0,0.0,0,0,1.9433461278676987,0.08126524090766907,0.013016266515478492,0.00018557836665422656,0.004773241,0.0,0.0,0,0
2,4096,1522.6034043473405,3,0.0,0.0,0,0,0.0,0.0,0,0,1.9439784437417984,0.07150106132030487,0.012767488486133516,4.773027376359096e-05,0.0046247626,0.0,0.0,0,0
3,6144,1527.0546894179993,4,0.0,0.0,0,0,0.0,0.0,0,0,1.945303425192833,0.05213755648583174,0.008781149634160101,3.3306369914498646e-05,0.0023776456,0.0,0.0,0,0
4,8192,1507.5770966581904,6,0.0,0.0,0,0,0.0,0.0,0,0,1.944435328245163,0.04020719463005662,0.0073377040098421276,1.973284611267445e-05,0.0019393233,0.0,0.0,0,0
5,10240,1506.1195720764358,7,0.0,0.0,0.0,0.0,640.0,0.0,640.0,640.0,1.944125309586525,0.027716274838894606,0.010293257189914584,6.137397804195643e-05,0.0038179297,0.0,0.0,0.0,0.0
6,12288,1509.252206749097,8,0.0,0.0,0.0,0.0,640.0,0.0,640.0,640.0,1.9450933784246445,0.024215318961068988,0.004124902334297076,1.543706218853913e-05,0.001101355,0.0,0.0,0.0,0.0
7,14336,1508.2433575333027,10,0.0,0.0,0.0,0.0,640.0,0.0,640.0,640.0,1.9453981667757034,0.019286995055153966,0.0034280259569641203,1.1637875672931841e-05,0.00096291763,0.0,0.0,0.0,0.0
8,16384,1513.0468419266183,11,0.0,0.0,0.0,0.0,640.0,0.0,640.0,640.0,1.9453448504209518,0.016955071594566107,0.0029824833618476987,9.974142244573159e-06,0.0011026573,0.0,0.0,0.0,0.0
9,18432,1510.2961296564815,12,0.019609374925494194,0.07594678251597631,0.0,0.3137499988079071,630.5,36.79334178897046,488.0,640.0,1.9405127167701721,0.01520920149050653,-0.0003191029131812684,0.00037217954923107754,0.0035371792,0.019609374925494194,0.07594678251597631,0.0,0.3137499988079071
10,20480,1496.9476311799663,14,0.019609374925494194,0.07594678251597631,0.0,0.3137499988079071,630.5,36.79334178897046,488.0,640.0,1.9442835003137589,0.005747374962083995,0.0021579509775619954,1.1941025832129526e-05,0.0010075693,0.019609374925494194,0.07594678251597631,0.0,0.3137499988079071
