update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2560,1142.7989960108428,2,0.0,0.0,0,0,0.0,0.0,0,0,1.9410097360610963,0.08052791357040405,0.013156230747699737,0.0001301734992011916,0.0040545496,0.0,0.0,0,0
2,5120,1576.6390805954668,3,0.0,0.0,0,0,0.0,0.0,0,0,1.9436432123184204,0.06984336450695991,0.012155952863395214,3.686334766825894e-05,0.002311912,0.0,0.0,0,0
3,7680,1585.2223875409945,5,0.0,0.0,0,0,0.0,0.0,0,0,1.944117283821106,0.05815758109092713,0.010064897313714027,2.5717470998642965e-05,0.0030486104,0.0,0.0,0,0
4,10240,1580.4014655051112,7,0.0,0.0,0,0,0.0,0.0,0,0,1.9438353300094604,0.04810364246368408,0.008531352132558822,1.6929887624428375e-05,0.0016038105,0.0,0.0,0,0
5,12800,1563.8298283859376,8,0.0,0.0,0,0,0.0,0.0,0,0,1.9446434259414673,0.039867205917835234,0.0065092474687844515,1.3727095665672096e-05,0.0014686238,0.0,0.0,0,0
6,15360,1559.9733491324666,10,0.0,0.0,0,0,0.0,0.0,0,0,1.9454493284225465,0.03195290621370077,0.005605901777744293,1.2565767792693806e-05,0.0019898931,0.0,0.0,0,0
7,17920,1540.1719698472555,12,0.0,0.0,0,0,0.0,0.0,0,0,1.9455357670783997,0.024268590658903123,0.004360164050012827,1.2363992664177203e-05,0.0015124499,0.0,0.0,0,0
8,20480,1530.9747952933876,13,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,1000.0,1.9455793499946594,0.016069738287478687,0.005464944895356894,2.6507712391321547e-05,0.0011166501,0.0,0.0,0.0,0.0
9,23040,1513.7037564386646,15,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,1000.0,1.9455665588378905,0.013227891642600298,0.0025095707504078748,5.729165604861919e-06,0.0008047763,0.0,0.0,0.0,0.0
10,25600,1499.9228541371017,17,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,1000.0,1.9457514047622682,0.010403333976864815,0.001922993129119277,4.914385226584273e-06,0.00052050164,0.0,0.0,0.0,0.0
11,28160,1488.7402187809666,18,0.0,0.0,0.0,0.0,1000.0,0.0,1000.0,1000.0,1.9458051204681397,0.009601573459804058,0.0016996862716041506,3.7539047298196237e-06,0.00044813007,0.0,0.0,0.0,0.0
12,30720,1481.5958167556619,20,0.029884999990463255,0.13026569488614334,0.0,0.5976999998092651,972.35,120.52355578889963,447.0,1000.0,1.9408542156219482,0.009955758089199662,-0.0025040929536771727,0.00096035059686983,0.0097448155,0.029884999990463255,0.13026569488614334,0.0,0.5976999998092651
13,33280,1429.8924219985247,22,0.029884999990463255,0.13026569488614334,0.0,0.5976999998092651,972.35,120.52355578889963,447.0,1000.0,1.9445481777191163,0.0003450875447015278,0.0007458266780304256,3.268181371822721e-05,0.00226723,0.029884999990463255,0.13026569488614334,0.0,0.5976999998092651
14,35840,1484.955778060519,24,0.029884999990463255,0.13026569488614334,0.0,0.5976999998092651,972.35,120.52355578889963,447.0,1000.0,1.9453882575035095,-0.011653090734034777,-0.0020769366063177587,1.1078595707658679e-05,0.0006485206,0.029884999990463255,0.13026569488614334,0.0,0.5976999998092651
15,38400,1477.7312279912708,25,0.029884999990463255,0.13026569488614334,0.0,0.5976999998092651,972.35,120.52355578889963,447.0,1000.0,1.9453689336776734,-0.008795866928994655,-0.001841792929917574,2.6690637423598673e-05,0.0020327042,0.029884999990463255,0.13026569488614334,0.0,0.5976999998092651
16,40960,1345.8428512356968,27,0.029884999990463255,0.1302656948861433,0.0,0.5976999998092651,972.35,120.52355578889963,447.0,1000.0,1.9456034779548645,-0.0030575890094041826,-0.0011877589276991785,1.0839448896149406e-05,0.001089462,0.029884999990463255,0.1302656948861433,0.0,0.5976999998092651
17,43520,1481.7878080261828,29,0.029884999990463255,0.1302656948861433,0.0,0.5976999998092651,972.35,120.52355578889963,447.0,1000.0,1.9457470774650574,-0.003966510645113885,-0.0005301039025653153,3.7208916637609945e-06,0.0007590646,0.029884999990463255,0.1302656948861433,0.0,0.5976999998092651
18,46080,1484.5474187066704,31,0.029884999990463255,0.1302656948861433,0.0,0.5976999998092651,972.35,120.52355578889963,447.0,1000.0,1.9455763339996337,-0.0016626910772174596,-0.0003782519281230634,6.003277985655586e-06,0.00068086304,0.029884999990463255,0.1302656948861433,0.0,0.5976999998092651
19,48640,1478.402253219224,32,0.03447499871253967,0.15027303546665527,0.0,0.6894999742507935,967.25,142.75394040095705,345.0,1000.0,1.938554334640503,0.0018561823846539483,-0.004652416508179158,0.0013472522216034122,0.0072216205,0.03447499871253967,0.15027303546665527,0.0,0.6894999742507935
20,51200,1489.929490241113,34,0.03447499871253967,0.15027303546665527,0.0,0.6894999742507935,967.25,142.75394040095705,345.0,1000.0,1.9430280447006225,-0.002461885959201027,-0.00023586601455463096,5.1570558571256694e-05,0.0027323607,0.03447499871253967,0.15027303546665527,0.0,0.6894999742507935
21,53760,1485.799692888573,36,0.03447499871253967,0.15027303546665527,0.0,0.6894999742507935,967.25,142.75394040095705,345.0,1000.0,1.9451306819915772,0.0028950065141543748,2.7345019407221117e-05,1.529144692540285e-05,0.001109665,0.03447499871253967,0.15027303546665527,0.0,0.6894999742507935
22,56320,1459.3878312427853,38,0.04820499867200852,0.15879876197679937,0.0,0.6894999742507935,957.55,146.73461588868523,345.0,1000.0,1.9431278586387635,0.00273089949041605,-0.0015182119037490337,0.00015376347473647912,0.002229426,0.04820499867200852,0.15879876197679937,0.0,0.6894999742507935
23,58880,1415.4654824167199,39,0.04820499867200852,0.15879876197679937,0.0,0.6894999742507935,957.55,146.73461588868523,345.0,1000.0,1.9445188879966735,-0.008616805169731378,-0.0011736524873413145,1.3781483448838117e-05,0.0006449827,0.04820499867200852,0.15879876197679937,0.0,0.6894999742507935
24,61440,1457.1146670784842,41,0.04820499867200852,0.15879876197679937,0.0,0.6894999742507935,957.55,146.73461588868523,345.0,1000.0,1.945587944984436,-0.004920585919171572,-0.0014586191391572356,9.470324312133015e-06,0.0006523669,0.04820499867200852,0.15879876197679937,0.0,0.6894999742507935
25,64000,1401.6891465159126,43,0.04820499867200852,0.15879876197679937,0.0,0.6894999742507935,957.55,146.73461588868523,345.0,1000.0,1.9455774426460266,-0.00496932421810925,-0.0007100634276866913,4.80350479392655e-06,0.00041478913,0.04820499867200852,0.15879876197679937,0.0,0.6894999742507935
