update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2560,884.5602946013937,2,0.0,0.0,0,0,0.0,0.0,0,0,1.9433473825454712,0.07072518467903137,0.013576314691454172,0.00018374928768025712,0.0047886004,0.0,0.0,0,0
2,5120,1567.6388179380417,4,0.0,0.0,0,0,0.0,0.0,0,0,1.9442862033843995,0.059429389983415605,0.009894866030663252,3.8784477146691644e-05,0.001802599,0.0,0.0,0,0
3,7680,1554.7005728870897,6,0.0,0.0,0,0,0.0,0.0,0,0,1.9451473474502563,0.049010222777724266,0.00848549110814929,2.636318895383738e-05,0.0024821565,0.0,0.0,0,0
4,10240,1417.1578624912843,7,0.0,0.0,0,0,0.0,0.0,0,0,1.9447010040283204,0.04055304266512394,0.00710967774502933,1.701689398032613e-05,0.0019249499,0.0,0.0,0,0
5,12800,1468.6671567960311,9,0.0,0.0,0,0,0.0,0.0,0,0,1.945182490348816,0.032791202701628205,0.005645639635622502,1.2503051038947888e-05,0.0016706279,0.0,0.0,0,0
6,15360,1533.339479590257,11,0.0,0.0,0,0,0.0,0.0,0,0,1.9455002903938294,0.025857396237552167,0.004630278330296278,1.2687633807217935e-05,0.001711702,0.0,0.0,0,0
7,17920,1548.9695562952838,13,0.0,0.0,0,0,0.0,0.0,0,0,1.9455543041229248,0.019383195601403714,0.003442343859933317,9.11039642232936e-06,0.0006915041,0.0,0.0,0,0
8,20480,1535.3074413111303,14,0.0,0.0,0,0,0.0,0.0,0,0,1.9456605792045594,0.014962383918464184,0.0027012503007426856,5.880620437892503e-06,0.00068552623,0.0,0.0,0,0
9,23040,1534.741266737562,16,0.0,0.0,0,0,0.0,0.0,0,0,1.9456814050674438,0.01138795716688037,0.001931531506124884,4.382397719382425e-06,0.0005776981,0.0,0.0,0,0
10,25600,1503.9475144583157,18,0.0,0.0,0,0,0.0,0.0,0,0,1.9457311034202576,0.009104558825492859,0.00161303267814219,4.2461871771592994e-06,0.00083860604,0.0,0.0,0,0
11,28160,1513.231876382354,19,0.0,0.0,0,0,0.0,0.0,0,0,1.9457488059997559,0.008100019209086895,0.0014831117354333402,4.81044448861212e-06,0.00065395905,0.0,0.0,0,0
12,30720,1511.457922239455,21,0.0,0.0,0,0,0.0,0.0,0,0,1.94568213224411,0.006983519019559026,0.0012424305663444103,4.061306412950216e-06,0.0005222728,0.0,0.0,0,0
13,33280,1496.7516916385064,23,0.0,0.0,0,0,0.0,0.0,0,0,1.9457759261131287,0.005764077231287956,0.0009350958396680653,2.544622270761465e-06,0.00024211346,0.0,0.0,0,0
14,35840,1503.5555933324101,24,0.0,0.0,0,0,0.0,0.0,0,0,1.9457728505134582,0.004474563943222165,0.0006931550276931375,4.266629525773169e-06,0.0004803071,0.0,0.0,0,0
15,38400,1519.843359044301,26,0.0,0.0,0,0,0.0,0.0,0,0,1.9457759141921998,0.0034602972446009517,0.0005932216852670535,3.0436244742304552e-06,0.00049573777,0.0,0.0,0,0
16,40960,1498.982462713967,28,0.0,0.0,0,0,0.0,0.0,0,0,1.9457878112792968,0.0024615813978016376,0.0004743507568491623,2.6962317633660858e-06,0.00030216848,0.0,0.0,0,0
17,43520,1471.1734456480337,30,0.0,0.0,0,0,0.0,0.0,0,0,1.9458206176757813,0.001615242671687156,0.0003599198520532809,2.258157724099874e-06,0.0003538727,0.0,0.0,0,0
18,46080,1474.757824036119,31,0.0,0.0,0,0,0.0,0.0,0,0,1.9458114624023437,0.0013133541098795832,7.695015592616983e-05,2.232195333817799e-06,0.00023632505,0.0,0.0,0,0
19,48640,1482.145956633632,33,0.0,0.0,0,0,0.0,0.0,0,0,1.9457982420921325,0.0018116572755388916,0.00020849251159233974,2.672249092938728e-06,0.00064610044,0.0,0.0,0,0
20,51200,1451.8788895945702,35,0.0,0.0,0.0,0.0,2560.0,0.0,2560.0,2560.0,1.9458089470863342,0.0011718433408532292,0.00044110363523941487,2.423860462386074e-06,0.00035776274,0.0,0.0,0.0,0.0
21,53760,1482.064739289197,37,0.0,0.0,0.0,0.0,2560.0,0.0,2560.0,2560.0,1.9457908511161803,0.0008896977815311402,0.00024289245338877664,1.881078924270696e-06,0.0005057311,0.0,0.0,0.0,0.0
22,56320,1467.9658015708003,38,0.0,0.0,0.0,0.0,2560.0,0.0,2560.0,2560.0,1.9458369851112365,0.0005687214419594966,7.172187633841531e-05,2.1870449927519075e-06,0.00030046972,0.0,0.0,0.0,0.0
23,58880,1487.0205130761858,40,0.0,0.0,0.0,0.0,2560.0,0.0,2560.0,2560.0,1.9458163142204286,0.0003340089808261837,7.996912718226668e-05,1.5623682429577457e-06,0.00036036424,0.0,0.0,0.0,0.0
24,61440,1454.5852656265643,42,0.0,0.0,0.0,0.0,2560.0,0.0,2560.0,2560.0,1.945841908454895,0.00018692358935368247,4.197610714982147e-05,1.8092685422743671e-06,0.00029074316,0.0,0.0,0.0,0.0
25,64000,1410.5629591425604,44,0.0,0.0,0.0,0.0,2560.0,0.0,2560.0,2560.0,1.9458330869674683,-0.0003974437320721336,-1.261730485566659e-05,1.9900650499948825e-06,0.000326428,0.0,0.0,0.0,0.0
26,66560,1465.6662577102481,45,0.0,0.0,0.0,0.0,2560.0,0.0,2560.0,2560.0,1.945839512348175,-0.0004294963173379074,-0.00012308021396165714,1.6704888707863574e-06,0.0002893409,0.0,0.0,0.0,0.0
27,69120,1474.6292132485955,47,0.0,0.0,0.0,0.0,2560.0,0.0,2560.0,2560.0,1.9458542585372924,-0.0004953738593030721,-2.27584029744321e-05,1.4997799439697701e-06,0.000288798,0.0,0.0,0.0,0.0
28,71680,1468.9605070637188,49,0.0,0.0,0.0,0.0,2560.0,0.0,2560.0,2560.0,1.9458574771881103,-0.0006743833801010624,-0.00015304590206142166,1.466371384140075e-06,0.00026911247,0.0,0.0,0.0,0.0
