update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,809.1665221805159,2,0.0,0.0,0,0,0.0,0.0,0,0,1.9435901939868927,0.07730362378060818,0.013385869096964598,0.0001886945537989959,0.005711833,0.0,0.0,0,0
2,4096,1361.8161584918762,4,0.0,0.0,0,0,0.0,0.0,0,0,1.9443029165267944,0.05461612157523632,0.009636841248720884,5.301089231579681e-05,0.0022329497,0.0,0.0,0,0
3,6144,1183.8730988631148,5,0.0,0.0,0,0,0.0,0.0,0,0,1.9446635991334915,0.04390956088900566,0.007907253690063953,2.8209372203491512e-05,0.003270287,0.0,0.0,0,0
4,8192,1230.036927450323,7,0.0,0.0,0,0,0.0,0.0,0,0,1.9448089003562927,0.035220228135585785,0.005910408799536526,1.8909794107457856e-05,0.00187567,0.0,0.0,0,0
5,10240,1225.5616427958541,9,0.0,0.0,0,0,0.0,0.0,0,0,1.9451278895139694,0.029561255825683475,0.0050622058915905654,1.6982241277219146e-05,0.0013107896,0.0,0.0,0,0
6,12288,1053.4762333829415,11,0.0,0.0,0,0,0.0,0.0,0,0,1.9455460011959076,0.02486896701157093,0.004007763840490952,1.4193930269357224e-05,0.0014660012,0.0,0.0,0,0
7,14336,1153.3982462036595,12,0.0,0.0,0,0,0.0,0.0,0,0,1.9453727304935455,0.019890055526047945,0.003667184035293758,1.0920685667770158e-05,0.0006889263,0.0,0.0,0,0
8,16384,1172.0680803452647,14,0.0,0.0,0,0,0.0,0.0,0,0,1.9455389082431793,0.015544610563665628,0.002932196744950488,8.615025649305608e-06,0.0011968144,0.0,0.0,0,0
9,18432,1199.938450930525,16,0.0,0.0,0,0,0.0,0.0,0,0,1.9456992149353027,0.012606138596311212,0.0022426779760280624,8.428232490587106e-06,0.0013367223,0.0,0.0,0,0
10,20480,1407.6933060314136,17,0.0,0.0,0,0,0.0,0.0,0,0,1.945738047361374,0.008348673349246383,0.0015164153737714514,5.805592820706806e-06,0.00089474814,0.0,0.0,0,0
11,22528,1338.5293691785605,19,0.0,0.0,0,0,0.0,0.0,0,0,1.9457676708698273,0.0063623348833061755,0.0011481996480142698,5.175846922611527e-06,0.00047420195,0.0,0.0,0,0
12,24576,1177.0139069568218,21,0.0,0.0,0,0,0.0,0.0,0,0,1.9457973390817642,0.005004105158150196,0.0009554108619340695,4.515053575460115e-06,0.00049933855,0.0,0.0,0,0
13,26624,1272.5749842741718,22,0.0,0.0,0,0,0.0,0.0,0,0,1.9457828402519226,0.0037898269365541637,0.0007464861118933186,5.904977342652273e-06,0.0005091138,0.0,0.0,0,0
14,28672,1216.4256655591303,24,0.0,0.0,0,0,0.0,0.0,0,0,1.9457799047231674,0.0030336582858581096,0.0005126896503497846,3.5561908475756354e-06,0.0003368422,0.0,0.0,0,0
15,30720,1170.364801262641,26,0.0,0.0,0,0,0.0,0.0,0,0,1.9457893520593643,0.0023135698575060815,0.00033310483377135824,4.247291883530124e-06,0.0004385421,0.0,0.0,0,0
16,32768,1136.975874220656,27,0.0,0.0,0,0,0.0,0.0,0,0,1.9457808285951614,0.0021935985423624516,0.0005356142719392665,4.1777175283641554e-06,0.00058116193,0.0,0.0,0,0
17,34816,1139.74139906644,29,0.0,0.0,0,0,0.0,0.0,0,0,1.945810541510582,0.0011773325968533754,0.00021586788079730468,3.4003544158167642e-06,0.00025756637,0.0,0.0,0,0
18,36864,1215.163114892779,31,0.0,0.0,0,0,0.0,0.0,0,0,1.9458403885364532,0.0011365656318957917,0.0002218603635810723,3.774528920530429e-06,0.0005225725,0.0,0.0,0,0
19,38912,1409.6090105388357,32,0.0,0.0,0,0,0.0,0.0,0,0,1.9458247274160385,0.0011053681373596191,0.00023064614379109116,3.2698808354325593e-06,0.00045929014,0.0,0.0,0,0
20,40960,1256.5691848270822,34,0.0,0.0,0.0,0.0,2560.0,0.0,2560.0,2560.0,1.9457969218492508,0.000609920851275092,0.0002597955317469314,2.8290038187606115e-06,0.0004569979,0.0,0.0,0.0,0.0
21,43008,1283.1860111044984,36,0.0,0.0,0.0,0.0,2560.0,0.0,2560.0,2560.0,1.9457949697971344,0.0011938702737097628,0.000326351000694558,2.7151787094226165e-06,0.0003240449,0.0,0.0,0.0,0.0
22,45056,1143.9957468071755,37,0.0,0.0,0.0,0.0,2560.0,0.0,2560.0,2560.0,1.945816308259964,0.0005661794366460526,8.254170074906142e-05,2.637404747929395e-06,0.0005017836,0.0,0.0,0.0,0.0
23,47104,1191.0314774407354,39,0.0,0.0,0.0,0.0,2560.0,0.0,2560.0,2560.0,1.9458366185426712,-5.983155369904125e-05,8.198267914849566e-05,2.4533636633350397e-06,0.0004917831,0.0,0.0,0.0,0.0
24,49152,1142.3417295424854,41,0.0,0.0,0.0,0.0,2560.0,0.0,2560.0,2560.0,1.9458358883857727,-0.0013918753829784691,-0.0002369717358305934,2.792537571849607e-06,0.00030358235,0.0,0.0,0.0,0.0
25,51200,1256.0328553792174,43,0.0,0.0,0.0,0.0,2560.0,0.0,2560.0,2560.0,1.945817083120346,-0.0006783151802665088,-0.00011510946842463454,2.7132947195696033e-06,0.0003393499,0.0,0.0,0.0,0.0
26,53248,1291.887335738057,44,0.0,0.0,0.0,0.0,2560.0,0.0,2560.0,2560.0,1.945837289094925,-0.0006348361857817508,-6.672371205240779e-05,2.387736628861603e-06,0.00025134796,0.0,0.0,0.0,0.0
27,55296,1260.6920550552375,46,0.0,0.0,0.0,0.0,2560.0,0.0,2560.0,2560.0,1.9458481222391129,-0.0005093334657431114,-0.00014962353225200786,2.03288604438967e-06,0.00031847926,0.0,0.0,0.0,0.0
28,57344,1293.671082752206,47,0.0,0.0,0.0,0.0,2560.0,0.0,2560.0,2560.0,1.9458488821983337,-0.0005554955550906016,-6.014615109961596e-05,2.1265458514108104e-06,0.00046885738,0.0,0.0,0.0,0.0
29,59392,1292.1708729229774,49,0.0,0.0,0.0,0.0,2560.0,0.0,2560.0,2560.0,1.945830151438713,-0.0010630350661813281,-0.00017707792449073168,2.046471990979626e-06,0.00027316654,0.0,0.0,0.0,0.0
30,61440,1282.6441532781887,51,0.0,0.0,0.0,0.0,2560.0,0.0,2560.0,2560.0,1.9458463788032532,-0.0008355109966942109,-0.00012294556063352502,1.922871348369881e-06,0.0003900241,0.0,0.0,0.0,0.0
31,63488,1278.4607917349188,52,0.0,0.0,0.0,0.0,2560.0,0.0,2560.0,2560.0,1.9458166062831879,-0.0007582400212413631,-0.0001936729113367619,1.624935094923785e-06,0.0005786234,0.0,0.0,0.0,0.0
32,65536,1350.9453374102102,54,0.0,0.0,0.0,0.0,2560.0,0.0,2560.0,2560.0,1.9458447992801666,-6.017043006067979e-05,-1.8419056232232833e-05,1.6392982331581152e-06,0.00046868293,0.0,0.0,0.0,0.0
33,67584,1118.0654316657024,56,0.0,0.0,0.0,0.0,2560.0,0.0,2560.0,2560.0,1.945857971906662,0.00031178103336060303,-0.00012040423416692647,1.7326359369462807e-06,0.00040863804,0.0,0.0,0.0,0.0
34,69632,1218.635273021068,57,0.0,0.0,0.0,0.0,2560.0,0.0,2560.0,2560.0,1.945847600698471,-0.0005186813214095309,-8.585819824702412e-05,1.6574354049225803e-06,0.00019557812,0.0,0.0,0.0,0.0
35,71680,1244.6593841221984,59,0.0,0.0,0.0,0.0,2560.0,0.0,2560.0,2560.0,1.9458641707897186,-0.0007484906818717718,-0.00012872068055003183,1.4723729009347153e-06,0.00040460553,0.0,0.0,0.0,0.0
36,73728,1375.6809139075033,60,0.0,0.0,0.0,0.0,2560.0,0.0,2560.0,2560.0,1.9458535462617874,-0.0012598881148733199,-0.0002445807331241667,1.3391133535378685e-06,0.00032208685,0.0,0.0,0.0,0.0
37,75776,1351.8974224675417,62,0.0,0.0,0.0,0.0,2560.0,0.0,2560.0,2560.0,1.9458633065223694,-0.0008122791114146821,-0.00011621287148955162,1.2520677614702436e-06,0.0002956179,0.0,0.0,0.0,0.0
38,77824,1373.0803849577658,63,0.0,0.0,0.0,0.0,2560.0,0.0,2560.0,2560.0,1.945855900645256,-0.0008691851471667178,-0.00010637798550305888,1.1527736916150388e-06,0.00031162775,0.0,0.0,0.0,0.0
39,79872,1190.9624522311583,65,0.0,0.0,0.0,0.0,2560.0,0.0,2560.0,2560.0,1.9458533227443695,-0.0006337696504488122,-0.00011598134915402625,1.0688689968674225e-06,0.00019058568,0.0,0.0,0.0,0.0
40,81920,1402.799478657607,67,0.0,0.0,0.0,0.0,2560.0,0.0,2560.0,2560.0,1.945848509669304,-0.00045107200094207656,-0.0002043711710939533,1.0393109306505721e-06,0.00029469252,0.0,0.0,0.0,0.0
41,83968,1248.3100226979077,68,0.0,0.0,0.0,0.0,2560.0,0.0,2560.0,2560.0,1.945833906531334,-0.0007631027301613358,-3.482936745058396e-05,1.490063652909157e-06,0.0007491668,0.0,0.0,0.0,0.0
42,86016,1212.1566253754152,70,0.0,0.0,0.0,0.0,2560.0,0.0,2560.0,2560.0,1.9458352774381638,-0.001091106991225388,-0.00014167575091050821,9.532073761420179e-07,0.000459884,0.0,0.0,0.0,0.0
43,88064,1160.2361215996145,72,0.0,0.0,0.0,0.0,2560.0,0.0,2560.0,2560.0,1.945847973227501,-0.0015783991912030615,-0.0003009113333973801,1.286656100774053e-06,0.00067157217,0.0,0.0,0.0,0.0
44,90112,1386.217407021059,73,0.0,0.0,0.0,0.0,2560.0,0.0,2560.0,2560.0,1.9458576887845993,-0.0012398504768498242,-0.00024554640367568936,7.897128710965262e-07,0.00015910846,0.0,0.0,0.0,0.0
45,92160,1068.8027528786038,75,0.0,0.0,0.0,0.0,2560.0,0.0,2560.0,2560.0,1.9458514750003815,-0.0007806752182659693,-0.00026534319295024034,1.0471503202325039e-06,0.0002928233,0.0,0.0,0.0,0.0
46,94208,1295.4406163388428,77,0.0,0.0,0.0,0.0,2560.0,0.0,2560.0,2560.0,1.9458579272031784,-0.0005174232464923989,-9.732212242852256e-05,9.240996519110922e-07,0.00015650509,0.0,0.0,0.0,0.0
47,96256,1147.4320624881032,78,0.0,0.0,0.0,0.0,2560.0,0.0,2560.0,2560.0,1.9458600580692291,-0.0006307633102551335,-0.00012283502701393445,8.932184698551282e-07,0.0003163782,0.0,0.0,0.0,0.0
48,98304,1295.0869082301062,80,0.0,0.0,0.0,0.0,2560.0,0.0,2560.0,2560.0,1.9458612203598022,-0.0001969221457329695,-5.698787083474599e-05,7.208751284792925e-07,0.00025544726,0.0,0.0,0.0,0.0
49,100352,1316.7483995023604,82,0.0,0.0,0.0,0.0,2560.0,0.0,2560.0,2560.0,1.9458709955215454,-0.00031466422842640895,-7.034357116708634e-05,7.565818904708976e-07,0.00018274109,0.0,0.0,0.0,0.0
50,102400,1260.3968258300267,83,0.0,0.0,0.0,0.0,2560.0,0.0,2560.0,2560.0,1.9458654075860977,-0.00046598636618000455,-4.336816061822901e-05,5.97679395752948e-07,0.00019474592,0.0,0.0,0.0,0.0
51,104448,1310.3610983014753,85,0.0,0.0,0.0,0.0,2560.0,0.0,2560.0,2560.0,1.9458710104227066,-0.0005448020492622163,-0.00010427258621348301,6.045832989798328e-07,0.00025593414,0.0,0.0,0.0,0.0
52,106496,1264.6655342008505,86,0.0,0.0,0.0,0.0,2560.0,0.0,2560.0,2560.0,1.9458706974983215,-0.0006386896020558197,-0.00014851517607894493,9.157363152212383e-07,0.0005345226,0.0,0.0,0.0,0.0
53,108544,1343.0563523531262,88,0.0,0.0,0.0,0.0,2560.0,0.0,2560.0,2560.0,1.945870190858841,7.054107072690385e-06,4.358589330877294e-05,7.332856029051982e-07,0.0005193951,0.0,0.0,0.0,0.0
