update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,5120,1422.9034859910028,3,0.0,0.0,0,0,0.0,0.0,0,0,1.9445995688438416,0.07638299390673638,0.012957744626328349,0.0001009459145279834,0.0032257568,0.0,0.0,0,0
2,10240,1711.5254306720922,6,0.0,0.0,0,0,0.0,0.0,0,0,1.9450024366378784,0.07145789936184883,0.012139472458511592,2.4532598126825177e-05,0.001685768,0.0,0.0,0,0
3,15360,1690.978608071876,9,0.0,0.0,0,0,0.0,0.0,0,0,1.9447541952133178,0.05519735962152481,0.009771855501458048,1.1738300054275897e-05,0.0016012415,0.0,0.0,0,0
4,20480,1655.456741487457,12,0.0,0.0,0,0,0.0,0.0,0,0,1.9451943516731263,0.04396971240639687,0.007689040410332382,1.0260591830046906e-05,0.0010027247,0.0,0.0,0,0
5,25600,1629.2707783679446,15,0.0,0.0,0,0,0.0,0.0,0,0,1.9456324577331543,0.03500109184533358,0.006072361138649285,6.7426855594021616e-06,0.000976978,0.0,0.0,0,0
6,30720,1632.8946861970721,19,0.0,0.0,0,0,0.0,0.0,0,0,1.9457542836666106,0.02773663345724344,0.004896852909587324,5.487768589773623e-06,0.0006992326,0.0,0.0,0,0
7,35840,1621.7685575537005,22,0.0,0.0,0,0,0.0,0.0,0,0,1.9457664966583252,0.021893701888620852,0.003990447113756091,4.06871959057753e-06,0.0007600145,0.0,0.0,0,0
8,40960,1596.7464698994083,25,0.0,0.0,0,0,0.0,0.0,0,0,1.9458092749118805,0.017730182502418756,0.0031339200679212807,3.1912030863168183e-06,0.0005676454,0.0,0.0,0,0
9,46080,1543.1781649585585,28,0.0,0.0,0,0,0.0,0.0,0,0,1.9457726240158082,0.013596074096858502,0.0024099882342852653,4.130674585667293e-06,0.0006921241,0.0,0.0,0,0
10,51200,1590.5679218781154,31,0.0,0.0,0,0,0.0,0.0,0,0,1.945792007446289,0.010936392424628138,0.0019621158367954194,2.62182174424197e-06,0.0004498201,0.0,0.0,0,0
11,56320,1609.5807533000218,35,0.0,0.0,0,0,0.0,0.0,0,0,1.9457987010478974,0.008596757147461175,0.0015098482952453196,2.1903023309732817e-06,0.00046687145,0.0,0.0,0,0
12,61440,1595.4156046578319,38,0.0,0.0,0,0,0.0,0.0,0,0,1.9458250045776366,0.0068792561301961545,0.001172468322329223,1.7849170831141236e-06,0.00023819164,0.0,0.0,0,0
13,66560,1596.994881174124,41,0.010893554985523224,0.06803022908003542,0.0,0.43574219942092896,40.125,250.58054468573573,0.0,1605.0,1.9429877042770385,0.006896821805275977,-0.0004289066452656698,0.00025671156099633664,0.0045476677,0.010893554985523224,0.06803022908003542,0.0,0.43574219942092896
