update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2560,1140.8455613252588,2,0.0,0.0,0,0,0.0,0.0,0,0,1.944764459133148,0.07739889547228813,0.01214621216058731,0.00014525900623993949,0.0043167677,0.0,0.0,0,0
2,5120,1556.4523198672669,3,0.0,0.0,0,0,0.0,0.0,0,0,1.943668794631958,0.06956611573696136,0.012024626228958368,3.38036379616824e-05,0.0029685432,0.0,0.0,0,0
3,7680,1558.5248861487994,5,0.0,0.0,0,0,0.0,0.0,0,0,1.9440422177314758,0.05604798644781113,0.01016720114275813,2.078348252325668e-05,0.003055343,0.0,0.0,0,0
4,10240,1534.8772860732859,7,0.0,0.0,0,0,0.0,0.0,0,0,1.9440689444541932,0.044552086293697356,0.007753563392907381,1.3799816042592283e-05,0.0019538999,0.0,0.0,0,0
5,12800,1540.0749912865874,8,0.0,0.0,0,0,0.0,0.0,0,0,1.9447693347930908,0.03456893153488636,0.005999872414395213,1.0756024767033524e-05,0.0018064936,0.0,0.0,0,0
6,15360,1538.8317000454165,10,0.0,0.0,0,0,0.0,0.0,0,0,1.945420253276825,0.026034195348620413,0.004715024679899216,8.38159971863206e-06,0.0013771172,0.0,0.0,0,0
7,17920,1512.8651566501903,12,0.0,0.0,0,0,0.0,0.0,0,0,1.9455328822135924,0.01977220121771097,0.003395407064817846,5.9370242070144744e-06,0.0009911524,0.0,0.0,0,0
8,20480,1508.705771400285,13,0.0,0.0,0,0,0.0,0.0,0,0,1.9457432985305787,0.015501906257122755,0.002502239914610982,6.0538665820786265e-06,0.0011464836,0.0,0.0,0,0
9,23040,1517.3658977490386,15,0.0,0.0,0,0,0.0,0.0,0,0,1.9456616640090942,0.012885744217783213,0.0022547960514202716,7.9218990777008e-06,0.00061329553,0.0,0.0,0,0
10,25600,1498.887253924113,17,0.0,0.0,0,0,0.0,0.0,0,0,1.9457656145095825,0.01033326406031847,0.0019103699014522135,4.619860942511878e-06,0.0006535666,0.0,0.0,0,0
11,28160,1494.7959460964473,19,0.0,0.0,0,0,0.0,0.0,0,0,1.9458127856254577,0.007568532321602106,0.0013987869839183985,3.847655852950993e-06,0.0006107137,0.0,0.0,0,0
12,30720,1495.9367665674429,20,0.0,0.0,0,0,0.0,0.0,0,0,1.9458021879196168,0.005773070408031345,0.001029444148298353,3.5096957617497536e-06,0.00050974346,0.0,0.0,0,0
13,33280,1509.2291368127508,22,0.0,0.0,0,0,0.0,0.0,0,0,1.9458025217056274,0.004736306564882398,0.0008088732371106744,4.035362803733733e-06,0.00050567294,0.0,0.0,0,0
14,35840,1489.5967077823923,24,0.020029297471046446,0.08730568358640625,0.0,0.40058594942092896,85.25,371.5961349368424,0.0,1705.0,1.9429697155952455,0.0058681358437752355,-0.0019361317623406648,0.0003977670667154598,0.0062098866,0.020029297471046446,0.08730568358640625,0.0,0.40058594942092896
15,38400,1499.6113536422642,25,0.020029297471046446,0.08730568358640625,0.0,0.40058594942092896,85.25,371.5961349368424,0.0,1705.0,1.945116102695465,0.009239819878712297,0.001696722477208823,1.9252864876762033e-05,0.0017820107,0.020029297471046446,0.08730568358640625,0.0,0.40058594942092896
16,40960,1496.1731452328042,27,0.020029297471046446,0.08730568358640625,0.0,0.40058594942092896,85.25,371.5961349368424,0.0,1705.0,1.9456528663635253,0.0074194984044879675,0.0012729254318401217,1.3917388923800899e-05,0.0015433886,0.020029297471046446,0.08730568358640625,0.0,0.40058594942092896
17,43520,1497.496493146818,29,0.020029297471046446,0.08730568358640625,0.0,0.40058594942092896,85.25,371.5961349368424,0.0,1705.0,1.9458269238471986,0.002969585079699755,0.00044966017158003523,5.825443167850608e-06,0.0003599462,0.020029297471046446,0.08730568358640625,0.0,0.40058594942092896
18,46080,1491.8312658258626,31,0.020029297471046446,0.08730568358640625,0.0,0.40058594942092896,85.25,371.5961349368424,0.0,1705.0,1.9457923531532288,0.0008097868267213926,9.10544347789255e-05,3.6904955095451442e-06,0.00045527666,0.020029297471046446,0.08730568358640625,0.0,0.40058594942092896
19,48640,1492.5740819331063,32,0.020029297471046446,0.08730568358640625,0.0,0.40058594942092896,85.25,371.5961349368424,0.0,1705.0,1.9457963466644288,0.0009878901531919838,0.00019717107325050164,2.8995854790991872e-06,0.00028078718,0.020029297471046446,0.08730568358640625,0.0,0.40058594942092896
