update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2560,921.6887956639652,2,0.0,0.0,0,0,0.0,0.0,0,0,1.9447644710540772,0.077398893982172,0.01214621216058731,0.00014525899532600307,0.004316763,0.0,0.0,0,0
2,5120,1583.4489853461832,4,0.0,0.0,0,0,0.0,0.0,0,0,1.943668794631958,0.06956611424684525,0.012024625577032566,3.380363104952266e-05,0.0029685416,0.0,0.0,0,0
3,7680,1571.8807302717037,6,0.0,0.0,0,0,0.0,0.0,0,0,1.9440422177314758,0.05604798011481762,0.010167200583964586,2.0783478885277872e-05,0.0030553427,0.0,0.0,0,0
4,10240,1540.1936204873775,7,0.0,0.0,0,0,0.0,0.0,0,0,1.9440689444541932,0.04455207288265228,0.007753559527918697,1.3799809767078842e-05,0.0019538957,0.0,0.0,0,0
5,12800,1445.2223566395803,9,0.0,0.0,0,0,0.0,0.0,0,0,1.944769287109375,0.034568922594189644,0.005999870644882321,1.0756021947599947e-05,0.0018064885,0.0,0.0,0,0
6,15360,1172.6535054716237,11,0.0,0.0,0,0,0.0,0.0,0,0,1.9454202771186828,0.026034190133213998,0.004715023096650839,8.381598172491067e-06,0.001377118,0.0,0.0,0,0
7,17920,1336.8371170313785,13,0.0,0.0,0,0,0.0,0.0,0,0,1.9455328702926635,0.019772192649543285,0.003395405737683177,5.937030846325797e-06,0.0009911598,0.0,0.0,0,0
8,20480,1327.7527401995644,15,0.0,0.0,0,0,0.0,0.0,0,0,1.9457433342933654,0.015501895919442177,0.002502237423323095,6.053863808119786e-06,0.0011464778,0.0,0.0,0,0
9,23040,1455.1145398997817,17,0.0,0.0,0,0,0.0,0.0,0,0,1.9456616282463073,0.01288573443889618,0.002254794561304152,7.921895075924112e-06,0.0006132942,0.0,0.0,0,0
10,25600,1302.4224623644045,19,0.0,0.0,0,0,0.0,0.0,0,0,1.9457656025886536,0.01033325307071209,0.001910367829259485,4.619861920218682e-06,0.0006535618,0.0,0.0,0,0
11,28160,1496.5676929029466,20,0.0,0.0,0,0,0.0,0.0,0,0,1.9458127617835999,0.007568519283086062,0.0013987843645736574,3.847659922939784e-06,0.00061071507,0.0,0.0,0,0
12,30720,1506.810236311744,22,0.0,0.0,0,0,0.0,0.0,0,0,1.9458022117614746,0.005773063423112035,0.0010294436069671065,3.509696807668661e-06,0.00050974364,0.0,0.0,0,0
13,33280,1496.4581913226086,24,0.0,0.0,0,0,0.0,0.0,0,0,1.9458025574684144,0.004736289475113153,0.0008088692498859018,4.035358369947062e-06,0.00050567253,0.0,0.0,0,0
