update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,Games,Strat,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,5120,1183.9883681009549,4,0.0,0.0,0,0,0,0.0,1.944599550962448,0.07638299465179443,0.012957744905725122,0.00010094591380038764,0.0032257568,0.0,0.0,0,0
2,10240,1718.8525325353849,7,0.0,0.0,0,0,0,0.0,1.945002418756485,0.07145789414644241,0.01213947106152773,2.453259403409902e-05,0.0016857663,0.0,0.0,0,0
3,15360,1723.708665893915,10,0.0,0.0,0,0,0,0.0,1.9447542011737824,0.05519735720008612,0.009771854616701603,1.1738303692254704e-05,0.0016012393,0.0,0.0,0,0
4,20480,1700.3903270768258,13,0.0,0.0,0,0,0,0.0,1.945194309949875,0.043969718553125856,0.007689040526747704,1.0260594513056276e-05,0.0010027254,0.0,0.0,0,0
5,25600,1687.2347037947552,16,0.0,0.0,0,0,0,0.0,1.9456324875354767,0.035001089423894884,0.00607236148789525,6.7426851728669135e-06,0.0009769808,0.0,0.0,0,0
6,30720,1659.6984418964712,19,0.0,0.0,0,0,0,0.0,1.9457542896270752,0.027736619301140308,0.004896850534714758,5.487766043188458e-06,0.0006992316,0.0,0.0,0,0
7,35840,1655.099875922441,22,0.0,0.0,0,0,0,0.0,1.9457664847373963,0.021893684472888707,0.003990444645751268,4.068714554250619e-06,0.0007600108,0.0,0.0,0,0
8,40960,1647.8684040255716,25,0.0,0.0,0,0,0,0.0,1.9458092510700227,0.017730151116847993,0.003133914340287447,3.1912091799313203e-06,0.00056765386,0.0,0.0,0,0
9,46080,1629.456215779736,28,0.0,0.0,0,0,0,0.0,1.9457726240158082,0.013596017379313707,0.002409976220224053,4.130671595703461e-06,0.00069215486,0.0,0.0,0,0
10,51200,1628.5038868266492,31,0.0,0.0,0,0,0,0.0,1.9457920610904693,0.010937056830152869,0.001962200226262212,2.6220004713195522e-06,0.0004499075,0.0,0.0,0,0
11,56320,1617.3209790910248,35,0.0,0.0,0,0,0,0.0,1.945798748731613,0.008600077545270323,0.0015103537880349904,2.1905526409682353e-06,0.0004658145,0.0,0.0,0,0
12,61440,1655.5264228654494,38,0.0,0.0,0,0,0,0.0,1.9458251237869262,0.0068829736672341825,0.0011735730397049338,1.7788332172585796e-06,0.00023824707,0.0,0.0,0,0
13,66560,1633.9001428712945,41,0.010893554985523224,0.06803022908003542,0.0,0.43574219942092896,1,0.0,1.9429862439632415,0.006925146502908319,-0.00043020432012781385,0.0002568547171904356,0.004561751,0.010893554985523224,0.06803022908003542,0.0,0.43574219942092896
14,71680,1622.5441958715512,44,0.010893554985523224,0.06803022908003542,0.0,0.43574219942092896,0,0.0,1.945130705833435,0.01075593139976263,0.0019126785278785973,1.831491163102328e-05,0.0016227316,0.010893554985523224,0.06803022908003542,0.0,0.43574219942092896
15,76800,1628.5632898639496,47,0.010893554985523224,0.06803022908003542,0.0,0.43574219942092896,0,0.0,1.945583802461624,0.0008771783323027194,0.0005011152024962939,4.052328279158246e-06,0.0005043104,0.010893554985523224,0.06803022908003542,0.0,0.43574219942092896
16,81920,1635.3402249392389,50,0.010893554985523224,0.06803022908003542,0.0,0.43574219942092896,0,0.0,1.9457165062427522,0.0004037840306409635,0.00020070636919626849,2.4496063247170243e-06,0.0003042261,0.010893554985523224,0.06803022908003542,0.0,0.43574219942092896
17,87040,1595.7066418683173,54,0.010893554985523224,0.06803022908003542,0.0,0.43574219942092896,0,0.0,1.9457881331443787,0.0007158909909776412,7.836623790353769e-05,1.1910704188267117e-06,0.0002378672,0.010893554985523224,0.06803022908003542,0.0,0.43574219942092896
18,92160,1634.2997868202365,57,0.010893554985523224,0.06803022908003542,0.0,0.43574219942092896,0,0.0,1.9458303451538086,0.0007549121393822134,0.00010109955806001381,9.400724735542098e-07,0.00026734968,0.010893554985523224,0.06803022908003542,0.0,0.43574219942092896
19,97280,1633.0696483082638,60,0.010893554985523224,0.06803022908003542,0.0,0.43574219942092896,0,0.0,1.9458309769630433,0.0006497508540633135,0.00014619065386796138,1.1566262003270822e-06,0.00021616796,0.010893554985523224,0.06803022908003542,0.0,0.43574219942092896
20,102400,1639.5255226633396,63,0.013507812842726707,0.06955353597674663,0.0,0.43574219942092896,39,0.0,1.9458039045333861,0.0010580002301139757,-0.00013716484378392124,1.6043155915212993e-05,0.0010467763,0.013507812842726707,0.06955353597674663,0.0,0.43574219942092896
21,107520,1623.249653389152,66,0.013507812842726707,0.06955353597674663,0.0,0.43574219942092896,0,0.0,1.945881724357605,0.0009770138858584687,0.00023735964205116034,6.977064572311065e-07,0.0001618946,0.013507812842726707,0.06955353597674663,0.0,0.43574219942092896
22,112640,1628.8166350356537,69,0.013507812842726707,0.06955353597674663,0.0,0.43574219942092896,0,0.0,1.9458845615386964,0.00042243815842084586,8.072380038584014e-05,4.12522733483911e-07,0.00015541895,0.013507812842726707,0.06955353597674663,0.0,0.43574219942092896
23,117760,1624.5010421471022,72,0.013507812842726707,0.06955353597674663,0.0,0.43574219942092896,0,0.0,1.9458848595619203,0.0004271794805163154,4.428013241977169e-05,4.2442516416940635e-07,0.00027649317,0.013507812842726707,0.06955353597674663,0.0,0.43574219942092896
24,122880,1636.0704419968424,76,0.013507812842726707,0.06955353597674663,0.0,0.43574219942092896,0,0.0,1.9458863854408264,0.00028195184095238803,5.7819767994260475e-05,4.350224827476268e-07,0.00015614132,0.013507812842726707,0.06955353597674663,0.0,0.43574219942092896
25,128000,1621.8655636537424,79,0.013507812842726707,0.06955353597674663,0.0,0.43574219942092896,0,0.0,1.945886766910553,0.00039423277339665217,4.708158180619648e-05,3.5714275981035826e-07,0.00011351218,0.013507812842726707,0.06955353597674663,0.0,0.43574219942092896
26,133120,1632.1998025384225,82,0.013507812842726707,0.06955353597674663,0.0,0.43574219942092896,0,0.0,1.945889914035797,0.0002269015342790226,3.152417218643677e-05,3.7342201650858444e-07,0.0003112248,0.013507812842726707,0.06955353597674663,0.0,0.43574219942092896
27,138240,1585.065365714823,85,0.013507812842726707,0.06955353597674663,0.0,0.43574219942092896,0,0.0,1.9458905518054963,4.768884127770434e-06,2.0463502346501626e-05,3.542582028615016e-07,0.00014006915,0.013507812842726707,0.06955353597674663,0.0,0.43574219942092896
28,143360,1625.5737035809068,88,0.013507812842726707,0.06955353597674663,0.0,0.43574219942092896,0,0.0,1.9458924770355224,2.626314999361057e-05,8.87481739937357e-06,4.386960227975578e-07,0.0002822223,0.013507812842726707,0.06955353597674663,0.0,0.43574219942092896
29,148480,1596.2034878742616,91,0.013507812842726707,0.06955353597674663,0.0,0.43574219942092896,0,0.0,1.9458968818187714,-0.00013024243148720415,-5.127267436364491e-05,3.383301162784846e-07,0.0001603233,0.013507812842726707,0.06955353597674663,0.0,0.43574219942092896
30,153600,1629.9869235722724,95,0.01704101525247097,0.09114949655702582,0.0,0.5770702958106995,1,0.0,1.944136095046997,0.0010129103349754587,-0.0019269295677077024,0.00026423804702062624,0.005236866,0.01704101525247097,0.09114949655702582,0.0,0.5770702958106995
31,158720,1630.469201360114,98,0.01704101525247097,0.09114949655702582,0.0,0.5770702958106995,0,0.0,1.9450722873210906,-0.01835068240761757,-0.0029577819514088333,2.7945658894168444e-05,0.0015957819,0.01704101525247097,0.09114949655702582,0.0,0.5770702958106995
32,163840,1643.4880017191895,101,0.01704101525247097,0.09114949655702582,0.0,0.5770702958106995,0,0.0,1.9456267595291137,-0.01470914613455534,-0.002514515642542392,4.728287774469209e-06,0.0006125052,0.01704101525247097,0.09114949655702582,0.0,0.5770702958106995
33,168960,1633.2294938775292,104,0.014426757395267487,0.09009507105682475,0.0,0.5770702958106995,1,0.0,1.9457365095615387,-0.013066273462027312,-0.002321308967657387,2.8753235824297007e-06,0.0004652029,0.014426757395267487,0.09009507105682475,0.0,0.5770702958106995
34,174080,1633.2376919297062,107,0.014426757395267487,0.09009507105682475,0.0,0.5770702958106995,0,0.0,1.9458192527294158,-0.01223717350512743,-0.0021662889630533755,1.651373861477623e-06,0.00042621457,0.014426757395267487,0.09009507105682475,0.0,0.5770702958106995
35,179200,1629.9773972216474,110,0.014426757395267487,0.09009507105682475,0.0,0.5770702958106995,0,0.0,1.9458206117153167,-0.008365836227312684,-0.0014461056736763567,1.0668885011000384e-06,0.0003317283,0.014426757395267487,0.09009507105682475,0.0,0.5770702958106995
36,184320,1638.8920227134229,113,0.014426757395267487,0.09009507105682475,0.0,0.5770702958106995,0,0.0,1.945840835571289,-0.00622363081201911,-0.0011322206119075418,8.402478385960422e-07,0.00028310905,0.014426757395267487,0.09009507105682475,0.0,0.5770702958106995
37,189440,1637.6015143373008,116,0.014426757395267487,0.09009507105682475,0.0,0.5770702958106995,0,0.0,1.9458391785621643,-0.005219411733560264,-0.0009118155896430836,9.383725057432457e-07,0.00024685328,0.014426757395267487,0.09009507105682475,0.0,0.5770702958106995
38,194560,1587.0792862811304,120,0.014426757395267487,0.09009507105682475,0.0,0.5770702958106995,0,0.0,1.945847064256668,-0.004328573681414127,-0.0007675947708776221,7.904965386273944e-07,0.00019033148,0.014426757395267487,0.09009507105682475,0.0,0.5770702958106995
