update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,entropy,value,policy_loss,value_loss,grad_norm,Games,Strat,return_mean,return_std,return_min,return_max
1,5120,1290.083390183541,3,0.0,0.0,0,0,1.944599562883377,0.0763829942792654,0.012957744719460606,0.00010094592180394102,0.0032257575,0,0.0,0.0,0.0,0,0
2,10240,1743.1247292961473,6,0.0,0.0,0,0,1.945002418756485,0.071457901597023,0.012139472272247076,2.45326038566418e-05,0.0016857747,0,0.0,0.0,0.0,0,0
3,15360,1582.9189749388295,10,0.0,0.0,0,0,1.9447541952133178,0.05519736371934414,0.009771855361759663,1.1738308285202947e-05,0.0016012421,0,0.0,0.0,0.0,0,0
4,20480,1690.4304675589165,13,0.0,0.0,0,0,1.9451943337917328,0.04396972805261612,0.007689043018035591,1.0260593990096823e-05,0.0010027231,0,0.0,0.0,0.0,0,0
5,25600,1691.2184481009342,16,0.0,0.0,0,0,1.9456324696540832,0.035001103021204474,0.006072363955900073,6.7426880150378565e-06,0.0009769807,0,0.0,0.0,0.0,0,0
6,30720,1674.9474682557016,19,0.0,0.0,0,0,1.9457542896270752,0.02773664062842727,0.004896853677928447,5.487775479195989e-06,0.00069923495,0,0.0,0.0,0.0,0,0
7,35840,1673.9354979218488,22,0.0,0.0,0,0,1.9457664966583252,0.02189371446147561,0.003990449220873415,4.068720750183275e-06,0.0007600157,0,0.0,0.0,0.0,0,0
8,40960,1644.616245884216,25,0.0,0.0,0,0,1.9458092629909516,0.017730183154344558,0.003133920452091843,3.1912107601783645e-06,0.0005676542,0,0.0,0.0,0.0,0,0
9,46080,1643.8451618493664,28,0.0,0.0,0,0,1.9457726418972014,0.013596044899895788,0.002409981330856681,4.130675245050952e-06,0.0006921565,0,0.0,0.0,0.0,0,0
10,51200,1597.1283807226066,31,0.0,0.0,0,0,1.9457920491695404,0.010937090404331684,0.001962205837480724,2.6220011363875527e-06,0.00044991006,0,0.0,0.0,0.0,0,0
