update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,5120,1199.4455799158277,4,0.0,0.0,0,0,0.0,0.0,0,0,1.9445995688438416,0.07638299278914928,0.012957744672894478,0.00010094591052620672,0.0032257554,0.0,0.0,0,0
2,10240,1308.810306446173,8,0.0,0.0,0,0,0.0,0.0,0,0,1.9450024008750915,0.07145789675414563,0.012139471620321274,2.453258912282763e-05,0.0016857643,0.0,0.0,0,0
3,15360,1711.5423453146461,11,0.0,0.0,0,0,0.0,0.0,0,0,1.9447541952133178,0.0551973445340991,0.009771852428093553,1.1738297826013876e-05,0.0016012385,0.0,0.0,0,0
4,20480,1514.2975442807597,14,0.0,0.0,0,0,0.0,0.0,0,0,1.9451943457126617,0.043969711475074294,0.0076890397816896435,1.0260590238431178e-05,0.0010027231,0.0,0.0,0,0
5,25600,1557.718948223059,17,0.0,0.0,0,0,0.0,0.0,0,0,1.9456324338912965,0.03500110395252705,0.006072363606654108,6.742692357875058e-06,0.0009769833,0.0,0.0,0,0
6,30720,1517.76869975953,21,0.0,0.0,0,0,0.0,0.0,0,0,1.9457542896270752,0.027736638393253087,0.004896853771060705,5.487775365509151e-06,0.00069923355,0.0,0.0,0,0
7,35840,1483.1157283842265,24,0.0,0.0,0,0,0.0,0.0,0,0,1.9457664966583252,0.021893700771033763,0.003990447334945202,4.068717566951819e-06,0.0007600134,0.0,0.0,0,0
8,40960,1396.6375008381515,28,0.0,0.0,0,0,0.0,0.0,0,0,1.945809280872345,0.017730178497731685,0.003133919357787818,3.1912072245177116e-06,0.0005676501,0.0,0.0,0,0
9,46080,1441.0517106974228,31,0.0,0.0,0,0,0.0,0.0,0,0,1.9457726240158082,0.013596048345789313,0.002409981831442565,4.13067336921813e-06,0.00069215556,0.0,0.0,0,0
10,51200,1632.0055544088577,35,0.0,0.0,0,0,0.0,0.0,0,0,1.945792031288147,0.010937088262289762,0.0019622053892817347,2.621995645313291e-06,0.0004499055,0.0,0.0,0,0
11,56320,1481.607776419924,38,0.0,0.0,0,0,0.0,0.0,0,0,1.9457987427711487,0.00860011912882328,0.001510363002307713,2.1904314053244887e-06,0.0004657471,0.0,0.0,0,0
12,61440,1582.8083722982324,41,0.0,0.0,0,0,0.0,0.0,0,0,1.9458251416683197,0.006882605119608342,0.0011734992265701294,1.778876361413495e-06,0.00023806274,0.0,0.0,0,0
13,66560,1632.1097430587497,44,0.0171630859375,0.10718343732602718,0.0,0.6865234375,40.125,250.58054468573573,0.0,1605.0,1.9401089251041412,0.007661425467813387,-0.0013207412062911316,0.0006264263205594034,0.0067168092,0.0171630859375,0.10718343732602718,0.0,0.6865234375
