update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2560,1060.3830127668618,2,0.0,0.0,0,0,0.0,0.0,0,0,1.9439218521118165,0.07747680619359017,0.012401311378926038,0.00014369881828315556,0.0048551364,0.0,0.0,0,0
2,5120,1492.5016756456066,4,0.0,0.0,0,0,0.0,0.0,0,0,1.9433462262153625,0.06761551648378372,0.0114616802893579,4.0386833461525384e-05,0.0034376935,0.0,0.0,0,0
3,7680,1331.1381513111764,6,0.0,0.0,0,0,0.0,0.0,0,0,1.94367915391922,0.05757566392421722,0.00988797377794981,2.3539231733593624e-05,0.0027296706,0.0,0.0,0,0
4,10240,1257.175554911856,8,0.0,0.0,0,0,0.0,0.0,0,0,1.9442822456359863,0.04173379801213741,0.007387166796252132,1.3001250590605195e-05,0.0020669189,0.0,0.0,0,0
5,12800,1534.959128676943,9,0.0,0.0,0,0,0.0,0.0,0,0,1.945163321495056,0.03121163323521614,0.005375840095803141,9.344188492832473e-06,0.0018562207,0.0,0.0,0,0
6,15360,1563.774712197725,11,0.0,0.0,0,0,0.0,0.0,0,0,1.9456782460212707,0.02525609377771616,0.004371408745646477,6.809851447542314e-06,0.0009975054,0.0,0.0,0,0
7,17920,1542.2248567317856,13,0.0,0.0,0,0,0.0,0.0,0,0,1.9455959916114807,0.02026800289750099,0.0035731317242607475,5.160682667337823e-06,0.0008707434,0.0,0.0,0,0
8,20480,1534.7818506286758,14,0.0,0.0,0,0,0.0,0.0,0,0,1.9457353472709655,0.015366904716938735,0.0026255764998495577,3.983003557550546e-06,0.00056591973,0.0,0.0,0,0
9,23040,1538.7212187080117,16,0.0,0.0,0,0,0.0,0.0,0,0,1.9456799626350403,0.012539910897612572,0.002186294994316995,4.946297940477961e-06,0.0006711193,0.0,0.0,0,0
10,25600,1506.2847433621962,18,0.0,0.0,0,0,0.0,0.0,0,0,1.945774507522583,0.010903121065348386,0.0016913596307858824,3.849688118862104e-06,0.00048677842,0.0,0.0,0,0
11,28160,1520.1138235921196,19,0.0,0.0,0,0,0.0,0.0,0,0,1.9457776308059693,0.00945050772279501,0.0018582665012218057,3.971776709477126e-06,0.0007645129,0.0,0.0,0,0
12,30720,1517.2192434179385,21,0.0,0.0,0,0,0.0,0.0,0,0,1.9456998229026794,0.006466499529778957,0.0011985796561930328,3.920933340850752e-06,0.0005356995,0.0,0.0,0,0
13,33280,1452.487338745623,23,0.0,0.0,0,0,0.0,0.0,0,0,1.945676600933075,0.005617902148514986,0.0007413630577502772,5.743964493376552e-06,0.0008525691,0.0,0.0,0,0
14,35840,1508.8622340324623,24,0.0,0.0,0,0,0.0,0.0,0,0,1.9457923412322997,0.004391355440020561,0.0008595332503318787,4.159011814408586e-06,0.00041793782,0.0,0.0,0,0
15,38400,1511.443880136485,26,0.0,0.0,0,0,0.0,0.0,0,0,1.9458117842674256,0.002778917201794684,0.0005522681050933898,3.8565091472264615e-06,0.0005404543,0.0,0.0,0,0
16,40960,1491.6725127708282,28,0.0,0.0,0.0,0.0,1960.0,0.0,1960.0,1960.0,1.9458422183990478,0.0021291789365932346,0.0007717544620390981,2.235273404949112e-06,0.00044908692,0.0,0.0,0.0,0.0
