update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,817.636427531732,2,0.0,0.0,0,0,0.0,0.0,0,0,1.9435901939868927,0.07730362564325333,0.013385868980549276,0.00018869456471293233,0.0057118353,0.0,0.0,0,0
2,4096,1457.9815664917642,3,0.0,0.0,0,0,0.0,0.0,0,0,1.9443029314279556,0.054616125766187906,0.009636841481551528,5.301088094711304e-05,0.002232951,0.0,0.0,0,0
3,6144,1438.4541393382021,5,0.0,0.0,0,0,0.0,0.0,0,0,1.9446635395288467,0.043909568805247545,0.007907254388555884,2.820928739311057e-05,0.0032702587,0.0,0.0,0,0
4,8192,1416.7891605402576,6,0.0,0.0,0,0,0.0,0.0,0,0,1.9448089301586151,0.035220236517488956,0.005910394887905568,1.8911118331743637e-05,0.001875492,0.0,0.0,0,0
5,10240,1434.3525872561395,8,0.0,0.0,0,0,0.0,0.0,0,0,1.9451279491186142,0.029563301242887974,0.005062644777353853,1.697911352493975e-05,0.0013104143,0.0,0.0,0,0
6,12288,1436.1125011285021,9,0.0,0.0,0,0,0.0,0.0,0,0,1.9455459862947464,0.02486661495640874,0.0040075069991871715,1.41981049637252e-05,0.0014659415,0.0,0.0,0,0
7,14336,1443.1208796821145,11,0.0,0.0,0,0,0.0,0.0,0,0,1.9453726261854172,0.019885648740455508,0.003666531265480444,1.092500826871401e-05,0.0006889073,0.0,0.0,0,0
8,16384,1434.6769558896108,12,0.0,0.0,0,0,0.0,0.0,0,0,1.9455390572547913,0.01554392499383539,0.002932051516836509,8.617142498223984e-06,0.0011986005,0.0,0.0,0,0
9,18432,1435.8772444319634,13,0.0,0.0,0,0,0.0,0.0,0,0,1.945699393749237,0.01259981736075133,0.0022415805142372847,8.428482203726162e-06,0.0013367315,0.0,0.0,0,0
10,20480,1436.6149601758605,15,0.0,0.0,0,0,0.0,0.0,0,0,1.9457380920648575,0.008351931406650692,0.0015163416101131588,5.812141523620085e-06,0.0008952578,0.0,0.0,0,0
11,22528,1429.8393926914844,16,0.0,0.0,0,0,0.0,0.0,0,0,1.9457676410675049,0.006360777246300131,0.0011483615962788463,5.18344324973441e-06,0.00047505548,0.0,0.0,0,0
12,24576,1443.5688169955895,18,0.0,0.0,0,0,0.0,0.0,0,0,1.9457973688840866,0.00500131119042635,0.0009551350449328311,4.519371884725842e-06,0.0004991768,0.0,0.0,0,0
13,26624,1438.467387904189,19,0.0,0.0,0,0,0.0,0.0,0,0,1.94578318297863,0.0037832598318345845,0.0007457187930413056,5.907776028379885e-06,0.000509446,0.0,0.0,0,0
14,28672,1424.0107264134615,21,0.0,0.0,0,0,0.0,0.0,0,0,1.9457770735025406,0.0030276573088485748,0.0005114823397889268,3.4874215373292827e-06,0.00031797728,0.0,0.0,0,0
15,30720,1375.0869788356654,22,0.0,0.0,0,0,0.0,0.0,0,0,1.9457955211400986,0.0023390740097966045,0.00028882497190352296,4.109250539841014e-06,0.00031747,0.0,0.0,0,0
16,32768,1404.8980765670376,24,0.0,0.0,0,0,0.0,0.0,0,0,1.9457949697971344,0.0022244237625272945,0.00045940028212498873,3.851225756079657e-06,0.0003912159,0.0,0.0,0,0
17,34816,1438.2303958830466,25,0.0,0.0,0,0,0.0,0.0,0,0,1.9458225667476654,0.0019114102178718895,0.0004102151833649259,3.728185731688427e-06,0.0004899687,0.0,0.0,0,0
18,36864,1384.6262426873366,26,0.0,0.0,0,0,0.0,0.0,0,0,1.9458011239767075,0.0012377630264381878,0.0003305367372377077,3.2874918360903393e-06,0.0003982607,0.0,0.0,0,0
19,38912,1421.7600782288475,28,0.0,0.0,0,0,0.0,0.0,0,0,1.9458337277173996,0.0008913461279007606,0.00019098688994745316,3.1372557316444727e-06,0.00037840527,0.0,0.0,0,0
20,40960,1401.452593343327,29,0.0,0.0,0.0,0.0,2560.0,0.0,2560.0,2560.0,1.945807084441185,0.000775792621425353,0.00031507578933087643,2.867828698072117e-06,0.00027072895,0.0,0.0,0.0,0.0
21,43008,1432.9994411426449,31,0.0,0.0,0.0,0.0,2560.0,0.0,2560.0,2560.0,1.9458191096782684,0.0006555841464432888,0.00031451126415049657,2.8930046482855687e-06,0.0003015709,0.0,0.0,0.0,0.0
22,45056,1381.7904041244908,32,0.0,0.0,0.0,0.0,2560.0,0.0,2560.0,2560.0,1.9457867294549942,6.617223289140384e-05,-0.00011638287969617522,2.7504538024913927e-06,0.00032856947,0.0,0.0,0.0,0.0
23,47104,1392.531208499336,34,0.0,0.0,0.0,0.0,2560.0,0.0,2560.0,2560.0,1.9457932859659195,-0.00014452176401391625,4.921084695297395e-05,2.662911811057711e-06,0.0004910489,0.0,0.0,0.0,0.0
24,49152,1435.243635214096,35,0.0,0.0,0.0,0.0,2560.0,0.0,2560.0,2560.0,1.9458265453577042,-0.0008610324875917286,-0.0002933285195467761,2.8932412305948674e-06,0.00031330407,0.0,0.0,0.0,0.0
25,51200,1419.0215073427075,37,0.0,0.0,0.0,0.0,2560.0,0.0,2560.0,2560.0,1.945795789361,-0.0011799688727478497,-7.672896072108415e-05,2.4310344031164277e-06,0.00030604567,0.0,0.0,0.0,0.0
26,53248,1433.175648108152,38,0.046086426824331284,0.17849196357684183,0.0,0.7373828291893005,2446.6875,438.8574254171279,747.0,2560.0,1.9358308017253876,0.0032027589240897214,-0.0068392032699193805,0.0020005480691906996,0.007824872,0.046086426824331284,0.17849196357684183,0.0,0.7373828291893005
27,55296,1423.010266459459,40,0.046086426824331284,0.17849196357684183,0.0,0.7373828291893005,2446.6875,438.8574254171279,747.0,2560.0,1.9429557770490646,0.01847780286334455,0.003149093099636957,5.7538125474820845e-05,0.0029603834,0.046086426824331284,0.17849196357684183,0.0,0.7373828291893005
28,57344,1428.6465594635831,41,0.046086426824331284,0.17849196357684183,0.0,0.7373828291893005,2446.6875,438.8574254171279,747.0,2560.0,1.945274442434311,0.01442212553229183,0.002471202868036926,1.0743136613200477e-05,0.0008928663,0.046086426824331284,0.17849196357684183,0.0,0.7373828291893005
29,59392,1256.4390566835314,43,0.046086426824331284,0.17849196357684183,0.0,0.7373828291893005,2446.6875,438.8574254171279,747.0,2560.0,1.9456786960363388,0.010982930194586515,0.0020053769694641232,8.233234041199466e-06,0.001280176,0.046086426824331284,0.17849196357684183,0.0,0.7373828291893005
30,61440,1341.0945556923027,44,0.046086426824331284,0.17849196357684183,0.0,0.7373828291893005,2446.6875,438.8574254171279,747.0,2560.0,1.9457045048475266,0.007907336170319468,0.0011811541407951154,5.919541194998601e-06,0.0004683065,0.046086426824331284,0.17849196357684183,0.0,0.7373828291893005
31,63488,1436.975208057695,46,0.046086426824331284,0.17849196357684183,0.0,0.7373828291893005,2446.6875,438.8574254171279,747.0,2560.0,1.9457411915063858,0.006162694888189435,0.0013198556989664212,4.594604433805216e-06,0.00029273867,0.046086426824331284,0.17849196357684183,0.0,0.7373828291893005
32,65536,1372.592865562693,47,0.046086426824331284,0.17849196357684183,0.0,0.7373828291893005,2446.6875,438.8574254171279,747.0,2560.0,1.9457497596740723,0.004721591074485332,0.0008581700240029022,2.946489473742986e-06,0.00037451732,0.046086426824331284,0.17849196357684183,0.0,0.7373828291893005
33,67584,1410.0743425088451,49,0.046086426824331284,0.17849196357684183,0.0,0.7373828291893005,2446.6875,438.8574254171279,747.0,2560.0,1.945753052830696,0.004056302510434762,0.0006656182122242171,3.483022567252192e-06,0.0003253176,0.046086426824331284,0.17849196357684183,0.0,0.7373828291893005
34,69632,1437.8548368198092,50,0.046086426824331284,0.17849196357684183,0.0,0.7373828291893005,2446.6875,438.8574254171279,747.0,2560.0,1.9457654356956482,0.00320688818464987,0.0006488727522082627,2.2973578666096728e-06,0.0003511698,0.046086426824331284,0.17849196357684183,0.0,0.7373828291893005
